Study,Variable Name,Description
Study 1,Progress,Percent of study finished as measured by Qualtrics
Study 1,Duration (in seconds),Study duration in seconds
Study 1,Finished,Did the participant finish the entire study?
Study 1,ResponseId,Anonymized Qualtrics Response ID
Study 1,t_consent_First Click,Timing info: First click on page
Study 1,t_consent_Last Click,Timing info: Last click on page
Study 1,t_consent_Page Submit,Timing info: Total time to submit current page
Study 1,t_consent_Click Count,Timing info: Total number of clicks on page
Study 1,t_landing_First Click,Timing info: First click on page
Study 1,t_landing_Last Click,Timing info: Last click on page
Study 1,t_landing_Page Submit,Timing info: Total time to submit current page
Study 1,t_landing_Click Count,Timing info: Total number of clicks on page
Study 1,inst1_t_First Click,Timing info: First click on page
Study 1,inst1_t_Last Click,Timing info: Last click on page
Study 1,inst1_t_Page Submit,Timing info: Total time to submit current page
Study 1,inst1_t_Click Count,Timing info: Total number of clicks on page
Study 1,inst2_t_First Click,Timing info: First click on page
Study 1,inst2_t_Last Click,Timing info: Last click on page
Study 1,inst2_t_Page Submit,Timing info: Total time to submit current page
Study 1,inst2_t_Click Count,Timing info: Total number of clicks on page
Study 1,cat_t_First Click,Timing info: First click on page
Study 1,cat_t_Last Click,Timing info: Last click on page
Study 1,cat_t_Page Submit,Timing info: Total time to submit current page
Study 1,cat_t_Click Count,Timing info: Total number of clicks on page
Study 1,cat_c,Task completion code
Study 1,eise_t_First Click,Timing info: First click on page
Study 1,eise_t_Last Click,Timing info: Last click on page
Study 1,eise_t_Page Submit,Timing info: Total time to submit current page
Study 1,eise_t_Click Count,Timing info: Total number of clicks on page
Study 1,eise_c,Task completion code
Study 1,lnpk_t_First Click,Timing info: First click on page
Study 1,lnpk_t_Last Click,Timing info: Last click on page
Study 1,lnpk_t_Page Submit,Timing info: Total time to submit current page
Study 1,lnpk_t_Click Count,Timing info: Total number of clicks on page
Study 1,lnpk_c,Task completion code
Study 1,mpeh_t_First Click,Timing info: First click on page
Study 1,mpeh_t_Last Click,Timing info: Last click on page
Study 1,mpeh_t_Page Submit,Timing info: Total time to submit current page
Study 1,mpeh_t_Click Count,Timing info: Total number of clicks on page
Study 1,mpeh_c,Task completion code
Study 1,qual_fr,Free response condition response
Study 1,qual_mc,Multiple choice condition response (forced)
Study 1,qual_mc_na,Multiple choice condition response (free)
Study 1,qual_percs_1,Decile condition response
Study 1,qual_percs_2,Decile condition response
Study 1,qual_percs_3,Decile condition response
Study 1,qual_percs_4,Decile condition response
Study 1,qual_percs_5,Decile condition response
Study 1,qual_percs_6,Decile condition response
Study 1,qual_percs_7,Decile condition response
Study 1,qual_percs_8,Decile condition response
Study 1,qual_percs_9,Decile condition response
Study 1,qual_percs_10,Decile condition response
Study 1,qual_slide_1,Slider condition response
Study 1,qual_t_First Click,Timing info: First click on page
Study 1,qual_t_Last Click,Timing info: Last click on page
Study 1,qual_t_Page Submit,Timing info: Total time to submit current page
Study 1,qual_t_Click Count,Timing info: Total number of clicks on page
Study 1,qual_expl,Please briefly explain your answer to the previous question.
Study 1,prev_exp,Previous experience with the task
Study 1,prev_last,(if yes to previous) Most recent time playing before today
Study 1,prev_first,First time playing the game
Study 1,prev_freq,How often playing the game
Study 1,rel_skill,How skilled are you compared to most people at the game
Study 1,rel_exp,How experience are you compared to most people at the game
Study 1,input,Input device
Study 1,input_7_TEXT,Input device (other)
Study 1,age,Participant age
Study 1,gender,Participant gender
Study 1,catch,Answer to attentional catch question
Study 1,catch_4_TEXT,Answer to attentional catch question (free repsonse)
Study 1,language,Did you only speak English growing up?
Study 1,language_3_TEXT,Language: other
Study 1,language_2_TEXT,Language: other
Study 1,bugreport,"Reporting any bugs, errors or glitches in study"
Study 1,hyp,Guessing what the hypothesis is
Study 1,comments,Any other comments
Study 1,ResponseID,Anonymized Qualtrics Response ID
Study 1,Q_TotalDuration,Study duration in seconds
Study 1,inst_bar,Answer to instructional comprehension checks
Study 1,inst_crab,Answer to instructional comprehension checks
Study 1,inst_barb,Answer to instructional comprehension checks
Study 1,inst_mat,Answer to instructional comprehension checks
Study 1,hypothetical_DO,Which condition was displayed
Study 1 Free Response Coding,ResponseID,Anonymized Qualtrics Response ID
Study 1 Free Response Coding,qual_fr,Qualtrics free response from Study 1
Study 1 Free Response Coding,type of explanation,Type of explanation
Study 1 Free Response Coding,Best?,"Did they mention ""the best"" performer?"
Study 1 Free Response Coding,Agree?,Did the coders agree?
Study 2 Advisors,ResponseID,Anonymized Qualtrics Response ID
Study 2 Advisors,ResponseSet,ResponseSet
Study 2 Advisors,Name,Name
Study 2 Advisors,Status,Status
Study 2 Advisors,Finished,Did the participant finish the entire study?
Study 2 Advisors,ResponseID2,Anonymized Qualtrics Response ID
Study 2 Advisors,Q_TotalDuration,Study duration in seconds
Study 2 Advisors,inst_bar,Answer to instructional comprehension checks
Study 2 Advisors,inst_crab,Answer to instructional comprehension checks
Study 2 Advisors,inst_barb,Answer to instructional comprehension checks
Study 2 Advisors,inst_mat,Answer to instructional comprehension checks
Study 2 Advisors,mobcheck,Mobile device?
Study 2 Advisors,meta_1_TEXT,Internet browser
Study 2 Advisors,meta_2_TEXT,Internet browser version
Study 2 Advisors,meta_3_TEXT,OS
Study 2 Advisors,meta_4_TEXT,Screen resolution
Study 2 Advisors,meta_5_TEXT,Metadata: other
Study 2 Advisors,meta_6_TEXT,Metadata: other
Study 2 Advisors,meta_7_TEXT,Metadata: other
Study 2 Advisors,consent,Qualtrics question display record
Study 2 Advisors,t_consent_1,Timing info: First click on page
Study 2 Advisors,t_consent_2,Timing info: Last click on page
Study 2 Advisors,t_consent_3,Timing info: Total time to submit current page
Study 2 Advisors,t_consent_4,Timing info: Total number of clicks on page
Study 2 Advisors,landing,Qualtrics question display record
Study 2 Advisors,t_landing_1,Timing info: First click on page
Study 2 Advisors,t_landing_2,Timing info: Last click on page
Study 2 Advisors,t_landing_3,Timing info: Total time to submit current page
Study 2 Advisors,t_landing_4,Timing info: Total number of clicks on page
Study 2 Advisors,inst1,Qualtrics question display record
Study 2 Advisors,inst1_t_1,Timing info: First click on page
Study 2 Advisors,inst1_t_2,Timing info: Last click on page
Study 2 Advisors,inst1_t_3,Timing info: Total time to submit current page
Study 2 Advisors,inst1_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,inst_title,Answer to instructional comprehension checks
Study 2 Advisors,inst_BAR,Answer to instructional comprehension checks
Study 2 Advisors,inst_CRAB,Answer to instructional comprehension checks
Study 2 Advisors,inst_BARB,Answer to instructional comprehension checks
Study 2 Advisors,inst_MAT,Answer to instructional comprehension checks
Study 2 Advisors,inst2_t_1,Timing info: First click on page
Study 2 Advisors,inst2_t_2,Timing info: Last click on page
Study 2 Advisors,inst2_t_3,Timing info: Total time to submit current page
Study 2 Advisors,inst2_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,cat_t_1,Timing info: First click on page
Study 2 Advisors,cat_t_2,Timing info: Last click on page
Study 2 Advisors,cat_t_3,Timing info: Total time to submit current page
Study 2 Advisors,cat_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q52,Qualtrics question display record
Study 2 Advisors,cat_b,Qualtrics question display record
Study 2 Advisors,cat_c,Completion code
Study 2 Advisors,Q58,Qualtrics question display record
Study 2 Advisors,Q207,Qualtrics question display record
Study 2 Advisors,eise_t_1,Timing info: First click on page
Study 2 Advisors,eise_t_2,Timing info: Last click on page
Study 2 Advisors,eise_t_3,Timing info: Total time to submit current page
Study 2 Advisors,eise_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q47,Qualtrics question display record
Study 2 Advisors,eise_b,Qualtrics question display record
Study 2 Advisors,eise_c,Completion code
Study 2 Advisors,Q212,Qualtrics question display record
Study 2 Advisors,Q263,Qualtrics question display record
Study 2 Advisors,demi_t_1,Timing info: First click on page
Study 2 Advisors,demi_t_2,Timing info: Last click on page
Study 2 Advisors,demi_t_3,Timing info: Total time to submit current page
Study 2 Advisors,demi_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q265,Qualtrics question display record
Study 2 Advisors,demi_b,Qualtrics question display record
Study 2 Advisors,demi_c,Completion code
Study 2 Advisors,Q268,Qualtrics question display record
Study 2 Advisors,Q287,Qualtrics question display record
Study 2 Advisors,lnpk_t_1,Timing info: First click on page
Study 2 Advisors,lnpk_t_2,Timing info: Last click on page
Study 2 Advisors,lnpk_t_3,Timing info: Total time to submit current page
Study 2 Advisors,lnpk_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q289,Qualtrics question display record
Study 2 Advisors,lnpk_b,Qualtrics question display record
Study 2 Advisors,lnpk_c,Completion code
Study 2 Advisors,Q292,Qualtrics question display record
Study 2 Advisors,Q299,Qualtrics question display record
Study 2 Advisors,mpeh_t_1,Timing info: First click on page
Study 2 Advisors,mpeh_t_2,Timing info: Last click on page
Study 2 Advisors,mpeh_t_3,Timing info: Total time to submit current page
Study 2 Advisors,mpeh_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q301,Qualtrics question display record
Study 2 Advisors,mpeh_b,Qualtrics question display record
Study 2 Advisors,mpeh_c,Completion code
Study 2 Advisors,Q304,Qualtrics question display record
Study 2 Advisors,Q305,Qualtrics question display record
Study 2 Advisors,nwsr_t_1,Timing info: First click on page
Study 2 Advisors,nwsr_t_2,Timing info: Last click on page
Study 2 Advisors,nwsr_t_3,Timing info: Total time to submit current page
Study 2 Advisors,nwsr_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q307,Qualtrics question display record
Study 2 Advisors,nwsr_b,Qualtrics question display record
Study 2 Advisors,nwsr_c,Completion code
Study 2 Advisors,Q310,Qualtrics question display record
Study 2 Advisors,Q353,Qualtrics question display record
