Progress,Duration (in seconds),Finished,ResponseId,t_consent_First Click,t_consent_Last Click,t_consent_Page Submit,t_consent_Click Count,t_landing_First Click,t_landing_Last Click,t_landing_Page Submit,t_landing_Click Count,inst1_t_First Click,inst1_t_Last Click,inst1_t_Page Submit,inst1_t_Click Count,inst2_t_First Click,inst2_t_Last Click,inst2_t_Page Submit,inst2_t_Click Count,cat_t_First Click,cat_t_Last Click,cat_t_Page Submit,cat_t_Click Count,cat_c,eise_t_First Click,eise_t_Last Click,eise_t_Page Submit,eise_t_Click Count,eise_c,lnpk_t_First Click,lnpk_t_Last Click,lnpk_t_Page Submit,lnpk_t_Click Count,lnpk_c,mpeh_t_First Click,mpeh_t_Last Click,mpeh_t_Page Submit,mpeh_t_Click Count,mpeh_c,qual_fr,qual_mc,qual_mc_na,qual_percs_1,qual_percs_2,qual_percs_3,qual_percs_4,qual_percs_5,qual_percs_6,qual_percs_7,qual_percs_8,qual_percs_9,qual_percs_10,qual_slide_1,qual_t_First Click,qual_t_Last Click,qual_t_Page Submit,qual_t_Click Count,qual_expl,prev_exp,prev_last,prev_first,prev_freq,rel_skill,rel_exp,input,input_7_TEXT,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,hypothetical_DO
100,361,TRUE,R_1CbgbEzo03ZiGIx,1.862,1.862,2.132,1,0,0,1.254,0,0,0,8.354,0,3.319,15.934,17.853,4,17.689,19.46,19.859,2,jz7Yr6c3Y3  ,67.526,68.194,70.097,2,OKNhp6Tyd  ,66.56,66.56,68.379,1,32J38ajxjd  ,66.206,66.206,67.781,1,rYjhdI1vV,,,,4,2,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,,11.999,17.631,18.395,10,I was in the top percentage so most people couldn't help me.,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,A few times a month,I was more skilled than most people,I was more experienced than most people,"With a computer mouse

",,23,Female,Other,potato,"Yes, I only spoke English growing up",,,Just hard to operate with mouse,unknown,,R_1CbgbEzo03ZiGIx,361,0,0,0,0,Q167|qual_percs|qual_t
100,372,TRUE,R_2PhB9K647GLpgUG,0,0,1.858,0,0,0,1.513,0,0,0,10.51,0,9.374,24.852,25.82,5,20.987,26.125,27.486,3,dgVIXx5EHF,66.296,66.296,68.845,1,pIeVNVrSM,67.092,67.092,69.052,1,XSp3Du1Ko5,66.399,66.399,67.567,1,JOt1Vnbxkl,,,,7 - Extremely helpful,7 - Extremely helpful,7 - Extremely helpful,4,4,4,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,,12.403,18.741,19.657,10,I assumed I was somewhat average and looked to those at my best guess of my own level and above. ,I'm not sure,,,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,25,Male,Other,potato,"Yes, I only spoke English growing up",,,,,,R_2PhB9K647GLpgUG,372,0,0,0,1,Q167|qual_percs|qual_t
100,374,TRUE,R_24NI60MzeNItgGY,0,0,4.861,0,0,0,2.366,0,2.178,2.404,8.417,2,7.247,26.341,27.681,4,23.635,23.635,25.882,1,6OysHkDWNs  ,69.039,70.023,71.309,4,NZ4J1SZhv7  ,68.619,68.619,69.694,1,1Tl7Ji05vQ  ,65.061,65.061,66.408,1,a6W36t3xpw  ,,,,7 - Extremely helpful,6,5,4,3,2,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,,9.756,16.469,16.772,12,"The better the person is, the better their advice would be.","No, I've never played any version of this game before",,,I never play word-finding games,I was less skilled than most people,I was less experienced than most people,"With a computer mouse

",,29,Male,Other,potato,"Yes, I only spoke English growing up",,,,how well people are at word scrambles,,R_24NI60MzeNItgGY,374,0,1,0,0,Q167|qual_percs|qual_t
100,379,TRUE,R_1LY9W2i581hN7NH,12.198,12.198,12.413,1,0,0,1.491,0,0,0,14.972,0,4.559,19.598,21.214,4,12.405,20.658,22.214,2,LkR1BHgF3t,70.853,72.032,72.309,2,OD5XFjPXpk,68.201,68.201,69.387,1,rIg6My3Ctl,65.289,66.335,66.595,2,9bYu7mNft7,,,,7 - Extremely helpful,6,6,5,4,3,2,2,2,2,,11.872,23.096,24.419,15,Low scores show me what not to do,I'm not sure,,,I never play word-finding games,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,25,Female,Other,potato,"Yes, I only spoke English growing up",,,,,,R_1LY9W2i581hN7NH,379,0,0,1,0,Q167|qual_percs|qual_t
100,381,TRUE,R_1jZp8ohrD1o84nA,0,0,2.469,0,0,0,2.371,0,0,0,12.08,0,5.327,19.608,21.417,5,21.157,21.157,23.183,1,r8nsiDT6Ck  ,69.837,69.837,71.371,1,bMuzJWcl8H,68.252,68.252,69.869,1,YmjPUs6zX4  ,66.889,66.889,68.637,1,fQgr0iWVs1  ,,,,,,,,,,,,,,99,14.503,14.503,16.511,1,I would want advice from someone who did really well.,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,34,Female,Other,potato,"Yes, I only spoke English growing up",,,,Who people want advice from.,,R_1jZp8ohrD1o84nA,381,1,0,0,0,Q167|qual_slide|qual_t
100,385,TRUE,R_UMH1VVdeTI190pX,0,0,2.619,0,0,0,1.174,0,0,0,16.159,0,7.093,36.546,38.645,4,23.795,23.795,27.145,1,ORyFpGHZf6 ,72.475,72.475,73.706,1,kEqEU3cFa4  ,65.682,65.682,66.924,1,t9IzK3tZRE  ,64.757,64.757,65.789,1,w2XFSErOzp  ,,,A participant who scored slightly better than you in the game,,,,,,,,,,,,17.398,17.398,18.397,1,I think they would have a similar mindset to me.,"No, I've never played any version of this game before",,,A few times a year,I was less skilled than most people,I was less experienced than most people,"With a computer mouse

",,29,Male,Other,potato,"Yes, I only spoke English growing up",,,,How well we performed,,R_UMH1VVdeTI190pX,385,1,1,0,0,Q167|qual_mc_na|qual_t
100,388,TRUE,R_1i5om5CDZmRh27o,0,0,2.189,0,0,0,1.374,0,0,0,8.762,0,5.778,22.883,25.329,5,14.075,14.219,16.215,2,Xsj9qjUrxK  ,67.858,68.002,70.753,2,OdEH7UU7pG  ,64.478,64.629,66.629,2,XU1gcyz9Ih  ,64.989,64.989,67.161,1,J7OlDmxaH7,,,The participant who scored the best in the game,,,,,,,,,,,,10.897,20.017,23.067,4,Whoever performed the best probably knows how to succeed and would offer helpful advice ,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,22,Male,Other,potato,"Yes, I only spoke English growing up",,,,Word scrambles ,,R_1i5om5CDZmRh27o,388,1,0,0,0,Q167|qual_mc_na|qual_t
100,392,TRUE,R_2QtVR0DXVz4cchR,0,0,3.006,0,0,0,1.475,0,0,0,8.417,0,4.61,15.89,17.231,5,20.57,20.57,22.625,1,V36sOLjtW1  ,75.24,79.456,81.148,2,XpQB5KYhwI,65.766,65.766,67.479,1,Cce4frbG7,67.217,67.217,69.741,1,DJWWNHNnoJ,,,,6,7 - Extremely helpful,5,4,4,3,3,4,4,2,,11.433,25.121,25.975,18,"as you get into the middle percentile it seems convoluted how well you actually did, whether it was good or bad","No, I've never played any version of this game before",,,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,32,Male,Other,potato,"Yes, I only spoke English growing up",,,,no idea!,,R_2QtVR0DXVz4cchR,392,0,0,1,0,Q167|qual_percs|qual_t
100,394,TRUE,R_RtwSzoDCOHJLwul,0,0,1.974,0,0,0,2.175,0,0,0,18.045,0,7.014,24.007,25.923,4,13.963,13.963,15.746,1,dI6PpqSjh  ,68.041,68.041,69.804,1,QUX2gGkcLr ,66.026,66.026,67.521,1, jVrY4WIVc  ,66.486,66.486,68.018,1,3m1oCqTt5l ,,,,1 - Extremely unhelpful,2,3,4,5,6,7 - Extremely helpful,7 - Extremely helpful,7 - Extremely helpful,7 - Extremely helpful,,24.458,34.676,36.804,10,"Well, as the score gets worse advice would help more.","Yes, I've played some version of this game before",Over a year ago,Within the last 3 years,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,28,Male,Other,potato,"Yes, I only spoke English growing up",,,,not sure,,R_RtwSzoDCOHJLwul,394,0,1,1,0,Q167|qual_percs|qual_t
100,395,TRUE,R_PGqT1mOKhs2IgaB,0,0,4.535,0,0,0,2.679,0,8.709,8.709,9.238,1,4.017,21.27,23.181,4,23.631,23.631,25.634,1,BnJzwFhJid  ,67.302,67.302,69.081,1,HcRBlpQpB2,82.038,82.038,84.277,1,uMJRuK2U2q,66.431,66.431,68.053,1,rhruXzNqmC,,,The participant who scored the best in the game,,,,,,,,,,,,8.252,8.252,17.654,1,It would just make sense to have the best give advice. ,"Yes, I've played some version of this game before",Within the last year,Within the last 5 years,Less than once a year,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,22,Female,Other,potato,"Yes, I only spoke English growing up",,,,,,R_PGqT1mOKhs2IgaB,395,0,0,1,0,Q167|qual_mc_na|qual_t
