advisor,participant,ResponseID,Q_TotalDuration,inst1_t_3,inst2_t_3,eise_d,adv_inst_t_3.x,lnpk_d,mpeh_d,woln_d,demi_d,nwsr_d,prev_exp,prev_last,prev_first,prev_freq,adv_exp,adv_skill,adv_help_hyp,adv_imp_hyp,adv_helpf,adv_imp_1,rel_exp,rel_skill,avg_perf_1_TEXT,adv_perf_1_TEXT,input,browser,animals,age,gender,language,condition,exclude,exclude_why,adv_inst_t_3.y,advice,advisor_advice_writing_time,advisor_prev_exp,advisor_prev_last,advisor_prev_first,advisor_rel_exp,advisor_rel_skill,advisor_avg_perf,advisor_prev_freq,advisor_input,advisor_browser,advisor_adv_imp,advisor_animals,animals.wordcount,advisor_age,advisor_gender,advisor_language,advisor_language_TEXT,advisor_bugreport,advisor_hyp,advisor_comments,advisor_DO.BR.FL_3,cat_s,eise_s,demi_s,lnpk_s,mpeh_s,nwsr_s,woln_s,b1,b2,b3,b4,b5,b6,s1,s2,s3,s4,s5,s6,advisor_mean,advisor_var,advisor_sd,advisor_median,advisor_advice_wordcount,advisor_animals_wordcount
ad09,1,R_2Uge9mrApAThrzJ,743,20.547,22.296,7,15.961,14,13,11,13,15,"Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,Less than once a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,5,20,I was as experienced as most people,I was as skilled as most people,12,12,mouse,Google Chrome,"Zebra, giraffe, dog, cat, rhino, hippo, pig, cow, horse, rat, snake, fly, monkey, bird, sloth, beaver, ",28,Male,"Yes, I only spoke English growing up",treatment,NA,NA,19.839,"1. Look for words all in one row first / 2. The same words seem to appear across multiple boards / 3. Keep it short, focus on three letter words. / 4. Look at the vowels and see if you can build around those",46.857,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was as skilled as most people,4,I never play word-finding games,trackpad,Google Chrome,73,"cat, cheetah, giraffe, elephant, dog, moose, tiger, lion, bear, mouse, zebra, octopus, whale, shark, elk, gazelle, reindeer",16,24,Male,"Yes, I only spoke English growing up",NA,NA,NA,NA,lnpk|mpeh|eise|demi|nwsr|woln,1,3,8,5,5,7,7,lnpk_s,mpeh_s,eise_s,demi_s,nwsr_s,woln_s,5,5,3,8,7,7,5.833333333,3.366666667,1.834847859,6,37,17
ad16,2,R_31TwZKFq34COvfp,777,17.008,26.55,6,16.098,8,6,10,12,10,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,3,40,I was as experienced as most people,I was as skilled as most people,10,10,mouse,Google Chrome,"cat, dog, zebra, monkey, tiger, cobra, snake, anaconda, lemur, fox, crocodile, fish, alligator, turtle, lizard, serval, parrot, mockingbird, badger, mole, rat, mouse, guinea pig, pig, boar, ferret, hamster, ",27,Female,"Yes, I only spoke English growing up",treatment,NA,NA,16.79,Just clear your mind. Think what letter could come next in a word and look for it. Have fun!,28.985,"Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,I was as experienced as most people,I was as skilled as most people,NA,A few times a year,other,Google Chrome,8,"cat, dog, frog, pig, bear, fish, squirrel, zebra, gazelle, lion, turkey, chicken, pigd / ",28,39,Male,"Yes, I only spoke English growing up",NA,no,boggle,no,woln|lnpk|mpeh|eise|demi|nwsr,1,10,15,6,12,12,11,woln_s,lnpk_s,mpeh_s,eise_s,demi_s,nwsr_s,11,6,12,10,15,12,11,8.8,2.966479395,11.5,19,13
ad24,3,R_1QxtmYpOkvYPc8h,792,14.293,48.581,1,19.051,9,14,12,10,13,"No, I've never played any version of this game before",NA,NA,A few times a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,6,68,I was as experienced as most people,I was as skilled as most people,10,10,trackpad,Google Chrome,"elephant, dog, cat, mouse, jaguar, cheetah, ",23,Female,"Yes, I only spoke English growing up",treatment,NA,NA,19.824,"Look for short words, at least three letters, as longer words don't give you more points. Look around vowels because almost all words have vowels in them, especially short words. The type of words you'll find will generally be consonant-vowel-consonant.",108.723,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,7,Less than once a year,mouse,Google Chrome,20,"dog, cat, rat, koala, mouse, gerbil, fish, snake, bird, squirrel, chipmunk, ostrich, octopus, shark, whale, sea lion, lion, tiger, bear, puma, giraffe",6,30,Male,"Yes, I only spoke English growing up",NA,"No, everything went very smoothly.","How a word game might affect coming up with animal names, maybe.",Good luck with your research and results!,eise|demi|woln|lnpk|mpeh|nwsr,1,7,11,8,6,7,6,eise_s,demi_s,woln_s,lnpk_s,mpeh_s,nwsr_s,7,11,6,8,6,7,7.5,3.5,1.870828693,7,40,22
ad32,4,R_1mqqTNxESyd3ibQ,851,19.448,30.457,6,16.814,9,11,10,9,11,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,5,40,I was as experienced as most people,I was as skilled as most people,9,10,mouse,Mozilla Firefox,"monkey, dog, cat. elephant, zebra, gifarre, lion, leopard, skink, squiril, bird, rat, mouse, gerbill, hamster, pig, goat, cow, chicken, horse, donkey, camel, ",34,Female,"Yes, I only spoke English growing up",treatment,NA,NA,19.241,I suggest you keep you finger down on the mouse as you are sliding as mine kept slipping and i had to tart over. You may also be on the lookout for plurals as I found quite a few. Also move quickly as that 1 minute flies by!!,136.933,"Yes, I've played some version of this game before",Within the last week,Within the last 5 years,I was as experienced as most people,I was as skilled as most people,25,A few times a week,mouse,Google Chrome,75,"cat, dog, bird, tiger, lion, monkey, donkey, kangaroo, lizard, ferret, turtle, fish, panda bear, leopard, bee, fly, bedbug, ",22,58,Female,"Yes, I only spoke English growing up",NA,no problems thanks / ,hypothesis,"fun, thanks",nwsr|eise|lnpk|woln|demi|mpeh,1,27,29,25,25,25,26,nwsr_s,eise_s,lnpk_s,woln_s,demi_s,mpeh_s,25,27,25,26,29,25,26.16666667,2.566666667,1.602081979,25.5,47,18
ad08,5,R_2BmrZmXzupjSzun,1311,110.875,53.642,3,21.732,7,8,8,13,10,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were more skilled than most people,They were more skilled than me,NA,NA,6,75,I was less experienced than most people,I was less skilled than most people,8,14,trackpad,Google Chrome,"pig, dog, bird, giraffe, elephant, penguin, dog, cat, lion, parakeet, tiger, ",50,Male,"Yes, I only spoke English growing up",treatment,NA,NA,19.973,"You can always get two words from something if you have an ""S"" to plural it first. ",48.409,"Yes, I've played some version of this game before",Within the last month,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,NA,A few times a month,mouse,Google Chrome,60,"cat, dog, chicken cowm sheep donkey, pig, rabbit, pheasent, deer, bear, wildcat, turkey, boar, giraffe, tiger, cheatah, lion, lizzard, ",11,41,Female,"Yes, I only spoke English growing up",NA,no,if the puzzle game would help improve performance on the animal task. ,NA,demi|mpeh|woln|nwsr|eise|lnpk,1,11,5,9,8,12,10,demi_s,mpeh_s,woln_s,nwsr_s,eise_s,lnpk_s,5,8,10,12,11,9,9.166666667,6.166666667,2.483277404,9.5,17,19
ad25,6,R_1HobG803OhpznOk,748,9.58,12.276,9,17.995,6,11,12,13,14,"No, I've never played any version of this game before",NA,NA,A few times a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,1,0,I was as experienced as most people,I was as skilled as most people,6,7,trackpad,Google Chrome,"mouse, duck, dog, moose, camel, giraffe, elephant, alligator, chicken, cat, buffalo, fish, whale, rabbit, horse, bear, donkey, turket, pig, goat",30,Female,"Yes, I only spoke English growing up",treatment,NA,NA,16.506,"I started by looking for words that were already spelled out either vertically, horizontally, or diagonally.  Once I did that I just started in the top left corner by letter and tried to make words from there.  If I could not I moved down to the next letter and repeated that same strategy.  Also the game seems to accept the plural and singular form of the words so make sure to use both!",106.479,"No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was less skilled than most people,7,I never play word-finding games,mouse,Google Chrome,60,"Dog, cat, hamster, gerbil, ferret, chinchilla, snake, bird, lion, cheetah, elephant, meerkat, seal, whale, polar bear, sun bear, grizzly bear, fish, giraffe, camel, goat, ",20,29,Male,"Yes, I only spoke English growing up",NA,no,Average Boggle score?,NA,mpeh|woln|demi|nwsr|eise|lnpk,1,7,10,8,8,12,5,mpeh_s,woln_s,demi_s,nwsr_s,eise_s,lnpk_s,8,5,10,12,7,8,8.333333333,5.866666667,2.422120283,8,73,24
ad70,7,R_1KoNrSJGwWbcdmq,1012,46.816,38.324,0,17.495,4,6,4,3,3,"No, I've never played any version of this game before",NA,NA,Less than once a year,They were more skilled than most people,They were more skilled than me,NA,NA,7,100,I was less experienced than most people,I was less skilled than most people,4,5,mouse,Mozilla Firefox,"Bat, cat, dog, llama, horse, rabbit, sheep, cow, duck, goose, bird, fish, turtle, lizard, snake, wolf, bear, yak",42,Female,"Yes, I only spoke English growing up",treatment,NA,NA,18.418,"Place the cursor on the beginning letter of the word you want to make. Hold down click and drag it to the other letters of the word. Make sure that all of the letters are touching, they have to be together in the game.",46.21,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was as skilled as most people,5,A few times a month,trackpad,Google Chrome,61,"Lion, bear, dog, cat, giraffe, cow, horse, bird, snake, lizard, puppy, tiger, cheeta, jaguar, ant, butterfly, caterpillar, mouse, rat, cattle, monkey, panda, seal, baboon",18,45,Male,"Yes, I only spoke English growing up",NA,NA,NA,NA,mpeh|woln|eise|lnpk|nwsr|demi,0,8,11,0,13,12,12,mpeh_s,woln_s,eise_s,lnpk_s,nwsr_s,demi_s,13,12,8,0,12,11,9.333333333,23.86666667,4.885352256,11.5,44,24
ad28,8,R_24C1asdUdkKO6KJ,884,21.521,34.232,5,17.172,6,4,5,8,7,"Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,Less than once a year,They were less skilled than most people,They were less skilled than me,NA,NA,2,0,I was as experienced as most people,I was as skilled as most people,10,15,trackpad,Mozilla Firefox,"Cat, dog, horse, pig, cow, goat,sheep, whale, dolphin, squirrel, rabbit, fish, ant, kangaroo, lion, tiger, bear, peacock, chicken, turkey, parrot, mouse, rat, oppossum, skunk, porqupine, deer, moose, elk, reindeer, gazelle, hynena, ape, m",33,Female,"Yes, I only spoke English growing up",treatment,NA,NA,19.498,Write down the words you have already used. This will make it easier for you not to waste time trying to use the same word when you're stumped and can't find new ones.,87.219,I'm not sure,NA,NA,I was less experienced than most people,I was as skilled as most people,7,Less than once a year,trackpad,Google Chrome,20,"Cat, dog, bear, cougar, tiger, deer, zebra, cow, lion, gorilla, monkey, giraffe, goat",34,24,Male,"Yes, I only spoke English growing up",NA,NA,Testing out a game.,NA,lnpk|eise|demi|mpeh|woln|nwsr,1,2,7,7,5,11,5,lnpk_s,eise_s,demi_s,mpeh_s,woln_s,nwsr_s,7,2,7,5,5,11,6.166666667,8.966666667,2.994439291,6,33,13
ad31,9,R_brcwhNmppPFc7rL,1757,11.969,53.459,0,16.387,0,8,14,8,10,"No, I've never played any version of this game before",NA,NA,A few times a week,They were about as skilled as most people,They were more skilled than me,NA,NA,6,59,I was less experienced than most people,I was as skilled as most people,7,7,mouse,Google Chrome,"Dog, Cat, Bear, Eagle, Turkey, Horse, Peacock, Chicken, Cow, Monkey, Frog, Salamander, Giraffe, Tiger, Lion, Sheep, Lizard,",25,Male,"Yes, I only spoke English growing up",treatment,NA,NA,28.058,"Try to look at the whole puzzle and look for bits of words that you may know. Try not to go letter by letter, it will only slow you down.",76.442,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was less experienced than most people,I was less skilled than most people,4,Less than once a year,trackpad,Mozilla Firefox,20,"lama, cat, dog, quail, crow, starling, lion, lemur, tiger, horse, cow, pig, chicken, dolphin",17,26,Male,"Yes, I only spoke English growing up",NA,None,Word processing among the general population.,NA,lnpk|demi|woln|eise|mpeh|nwsr,1,1,5,3,5,7,4,lnpk_s,demi_s,woln_s,eise_s,mpeh_s,nwsr_s,3,5,4,1,5,7,4.166666667,4.166666667,2.041241452,4.5,30,14
ad15,10,R_eYja2eai3webb3z,849,20.1,23.608,16,18.134,18,19,17,14,17,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,A few times a year,They were about as skilled as most people,They were less skilled than me,NA,NA,4,19,I was more experienced than most people,I was more skilled than most people,12,13,mouse,Google Chrome,"rat, mouse, lion, cub, zebra, ram, dog, cat, fish, panda, elephant, monkey, koala, sloth, giraffe, panther, tiger, bear, leopard, ant, beatle, spiders, moose, deer, jackle, sheep, ",23,Male,"Yes, I only spoke English growing up",treatment,NA,NA,28.54,My advice to you is just to start picking letters  / the words will begin to flow as you start playing the game  / don't get distracted by not finding any words to begin with after a few seconds they will begin to pop out at you ,69.836,"Yes, I've played some version of this game before",Within the last year,Within the last 5 years,I was less experienced than most people,I was less skilled than most people,5,A few times a year,mouse,Google Chrome,5,"cat,dog,cheetah,lion,bear,leopard,penguin,lemur,fish,salmon,tuna,robin,s ",26,47,Male,"Yes, I only spoke English growing up",NA,no,I have no idea what this study was about,NA,eise|nwsr|woln|lnpk|mpeh|demi,1,2,5,3,4,3,8,eise_s,nwsr_s,woln_s,lnpk_s,mpeh_s,demi_s,2,3,8,3,4,5,4.166666667,4.566666667,2.136976057,3.5,45,13
