ResponseID,ResponseSet,Name,Status,Finished,ResponseID2,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,mobcheck,meta_1_TEXT,meta_2_TEXT,meta_3_TEXT,meta_4_TEXT,meta_5_TEXT,meta_6_TEXT,meta_7_TEXT,consent,t_consent_1,t_consent_2,t_consent_3,t_consent_4,landing,t_landing_1,t_landing_2,t_landing_3,t_landing_4,inst1,inst1_t_1,inst1_t_2,inst1_t_3,inst1_t_4,inst_title,inst_BAR,inst_CRAB,inst_BARB,inst_MAT,inst2_t_1,inst2_t_2,inst2_t_3,inst2_t_4,cat_t_1,cat_t_2,cat_t_3,cat_t_4,Q52,cat_b,cat_c,Q58,Q207,eise_t_1,eise_t_2,eise_t_3,eise_t_4,Q47,eise_b,eise_c,Q212,Q263,demi_t_1,demi_t_2,demi_t_3,demi_t_4,Q265,demi_b,demi_c,Q268,Q287,lnpk_t_1,lnpk_t_2,lnpk_t_3,lnpk_t_4,Q289,lnpk_b,lnpk_c,Q292,Q299,mpeh_t_1,mpeh_t_2,mpeh_t_3,mpeh_t_4,Q301,mpeh_b,mpeh_c,Q304,Q305,nwsr_t_1,nwsr_t_2,nwsr_t_3,nwsr_t_4,Q307,nwsr_b,nwsr_c,Q310,Q353,woln_t_1,woln_t_2,woln_t_3,woln_t_4,Q355,woln_b,woln_c,Q358,Q159,adv_inst,adv_inst_t_1,adv_inst_t_2,adv_inst_t_3,adv_inst_t_4,advice,adv_t_1,adv_t_2,adv_t_3,adv_t_4,Q169,Q16,prev_exp,prev_last,prev_first,rel_exp,rel_skill,avg_perf_1_TEXT,prev_freq,input,input_TEXT,browser,browser_TEXT,adv_imp_1,animals,animals_t_1,animals_t_2,animals_t_3,animals_t_4,Q107,age,gender,catch,catch_TEXT,language,language_TEXT,bugreport,hyp,comments,HITcode,DO.BR.FL_3,exclude,participant,Exclude,Exclude_why,cat_s,eise_s,demi_s,lnpk_s,mpeh_s,nwsr_s,woln_s,b1,b2,b3,b4,b5,b6,s1,s2,s3,s4,s5,s6,advisor_mean,advisor_var,advisor_sd,advisor_median,advice_wordcount,animals_wordcount
R_07eeaWtEAcHZuHD,Default Response Set,Anonymous,0,1,R_07eeaWtEAcHZuHD,844,0,1,0,0,NA,Safari,8.0.8,Macintosh,1440x900,19.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9",1,0,0,5.13,0,1,0,0,3.08,0,1,0,0,19.964,0,1,1,1,1,1,12.404,25.347,28.059,4,36.524,36.524,38.835,1,1,1,ONigMVTWCz,1,1,116.222,116.222,118.589,1,1,1,FoKBVpvZXa,1,1,79.519,79.519,82.343,1,1,1,CWnQeOj47N,1,1,67.574,67.574,70.214,1,1,1,UR9v2h9XZC,1,1,68.226,68.226,71.203,1,1,1,VkRuWPrHNW,1,1,68.108,68.108,72.091,1,1,1,yG1t55WgFB,1,1,63.825,70.975,71.728,3,1,1,oZIsUT8DN,1,1,1,0,0,18.083,0,I would definitely recommend using a mouse.  I tried using my trackpad and that didn't work well.  I switched to a mouse immediately.  Also look for plurals; that's an easy way to get an extra word.,1.186,1.186,39.631,1,1,1,"Yes, I've played some version of this game before",Over a year ago,Within the last 6 months,I was as experienced as most people,I was as skilled as most people,11,A few times a year,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",,Safari,NA,19,"dog, cat, horse, cow, rabbit, alpaca, pig, bird, penguin, llama, snake, mouse, rat, gerbil, ferret, opossum, raccoon, fox, whale",2.332,2.332,65.005,1,1,37,Female,Other,orange,"Yes, I only spoke English growing up",,no,working under time contstraint,,1,mpeh|eise|nwsr|lnpk|woln|demi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0wfujlHKN7lWHAd,Default Response Set,Anonymous,0,1,R_0wfujlHKN7lWHAd,813,0,0,0,0,NA,Firefox,43,Windows NT 6.3,1600x900,19.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,1,0,0,6.254,0,1,0,0,1.946,0,1,0,0,17.005,0,1,1,1,1,1,5.681,20.688,22.393,4,33.662,33.662,37.423,1,1,1,NA,1,1,67.974,67.974,69.728,1,1,1,NA,1,1,40.128,68.173,71.178,2,1,1,NA,1,1,47.405,68.148,69.877,3,1,1,NA,1,1,26.95,68.951,71.236,3,1,1,NA,1,1,27.53,80.203,83.299,2,1,1,NA,1,1,68.919,68.919,71.523,1,1,1,NA,1,1,1,0,0,16.873,0,try to look for three letter words since they are easy to find,0.905,18.085,32.116,2,1,1,"Yes, I've played some version of this game before",Over a year ago,Within the last 3 years,I was as experienced as most people,I was as skilled as most people,10,Less than once a year,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Mozilla Firefox,NA,81,"cat, dog, rat, snake, pig, cow, goat, sheep, wolf, hyena, bear, lion, tiger, fox, elephant, orangutan, chimpanzee, monkey, gorilla, ",4.894,4.894,65.004,1,1,22,Female,Other,orange,"Yes, I only spoke English growing up",NA,no,assessing vocabulary,NA,1,nwsr|woln|mpeh|demi|eise|lnpk,NA,ad01,NA,NA,1,13,10,11,9,9,6,nwsr_s,woln_s,mpeh_s,demi_s,eise_s,lnpk_s,9,6,9,10,13,11,9.666666667,5.466666667,2.338090389,9.5,13,19
R_10H44KIWLaMkxtM,Default Response Set,Anonymous,0,1,R_10H44KIWLaMkxtM,1055,0,0,0,0,NA,Chrome,46.0.2490.86,Windows NT 10.0,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,0,0,7.273,0,1,0,0,4.725,0,1,0,0,24.729,0,1,1,1,1,1,10.833,27.034,29.848,4,28.316,28.316,36.85,1,1,1,NA,1,1,69.863,69.863,71.974,1,1,1,NA,1,1,68.116,68.116,70.196,1,1,1,NA,1,1,69.007,69.007,71.206,1,1,1,NA,1,1,70.631,70.631,76.11,1,1,1,NA,1,1,68.635,68.635,91.242,1,1,1,NA,1,1,81.027,81.027,84.842,1,1,1,NA,1,1,1,0,0,18.076,0,"Look for an ""s"" or an ""ed"" to be able to attach onto words to make them plural or the past tense.  Look for ""ly"" to make a lot of adverbs.  If you want to have the most words, focus on shorter words as opposed to longer words (something I didn't really do).",1.124,1.124,101.673,1,1,1,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,I was more experienced than most people,I was as skilled as most people,20,A few times a month,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,82,"dog, cat, mouse, kangaroo, elephant, tiger, lion, zebra, marmoset, emu, hamster, gerbil, fish, peacock, squirrel, hippo, giraffe, moose, deer, ",5.082,5.082,65.003,1,1,33,Female,Other,orange,"Yes, I only spoke English growing up",NA,No problems.,Testing how well people construct words?,NA,1,woln|nwsr|eise|demi|lnpk|mpeh,NA,ad21,NA,NA,1,20,24,19,19,25,15,woln_s,nwsr_s,eise_s,demi_s,lnpk_s,mpeh_s,15,25,20,24,19,19,20.33333333,13.46666667,3.669695719,19.5,53,19
R_12RKEJTbw3q1uU3,Default Response Set,Anonymous,0,1,R_12RKEJTbw3q1uU3,1056,1,0,1,0,NA,Chrome,46.0.2490.86,Windows NT 5.1,1440x900,19.0.0,1,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,0,0,11.652,0,1,0,0,4.144,0,1,0,0,17.219,0,1,1,1,1,1,10.944,51.812,52.982,8,52.245,70.944,72.909,3,1,1,NA,1,1,67.419,78.34,82.798,2,1,1,NA,1,1,66.691,77.349,82.446,2,1,1,NA,1,1,75.661,119.033,124.938,20,1,1,NA,1,1,71.229,80.738,86.085,2,1,1,NA,1,1,67.448,81.365,85.615,2,1,1,NA,1,1,77.57,105.461,110.72,7,1,1,NA,1,1,1,0,0,22.872,0,"look for easy words, dont try to over think.",6,6,36.148,1,1,1,I'm not sure,NA,NA,I was less experienced than most people,I was less skilled than most people,4,A few times a year,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,32,"cat.dog, horse,fish,racoon,fox,snake,rabbit,mouse,rat,ze",9.862,9.862,65.001,1,1,65,Male,Other,orange,"Yes, I only spoke English growing up",NA,no,not sure,NA,1,lnpk|woln|mpeh|demi|eise|nwsr,NA,ad02,NA,NA,1,5,7,4,2,3,2,lnpk_s,woln_s,mpeh_s,demi_s,eise_s,nwsr_s,4,2,2,7,5,3,3.833333333,3.766666667,1.940790217,3.5,9,2
R_1BVh5Fwwm7JMNuC,Default Response Set,Anonymous,0,1,R_1BVh5Fwwm7JMNuC,748,1,0,0,0,NA,Chrome,46.0.2490.86,Windows NT 10.0,1360x768,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,0,0,6.71,0,1,0,0,5.602,0,1,0,0,18.392,0,1,1,1,1,1,5.861,22.03,23.844,5,13.43,22.813,24.162,2,1,1,NA,1,1,70.686,70.95,73.772,2,1,1,NA,1,1,66.758,67.982,69.504,2,1,1,NA,1,1,66.083,66.994,68.363,2,1,1,NA,1,1,64.989,64.989,69.7,1,1,1,NA,1,1,65.394,65.394,67.162,1,1,1,NA,1,1,67.977,68.145,70.689,2,1,1,NA,1,1,1,8.173,16.069,16.369,2,"Try to focus on the vowels. Notice where the A E I O U's are to help get an idea of what words you can make. Be aware of were S's are, they are a good way of turning 1 word into 2 using a plural.",0.448,0.448,42.358,1,1,1,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,6,I never play word-finding games,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,30,"Zebra, Giraffe, Lion, Tiger, Monkey, Sheep, Deer, Bear, Bird, Eagle, Leopard, Fox, Wolf, Ox, Cow,",0.923,47.531,65.002,6,1,27,Male,Other,orange,"Yes, I only spoke English growing up",NA,None!,Peoples ability to think under pressure.,Very fun experiment! I enjoyed the challenge.,1,eise|lnpk|mpeh|demi|woln|nwsr,NA,ad22,NA,NA,1,3,12,9,11,11,15,eise_s,lnpk_s,mpeh_s,demi_s,woln_s,nwsr_s,3,9,11,12,15,11,10.16666667,16.16666667,4.020779361,11,44,15
R_1BVps4oDhzijcRM,Default Response Set,Anonymous,0,1,R_1BVps4oDhzijcRM,925,0,0,0,0,NA,Chrome,46.0.2490.86,Windows NT 6.1,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,0,0,10.334,0,1,0,0,5.354,0,1,0,0,25.129,0,1,1,1,1,1,1.932,25.507,28.372,6,41.707,42.149,45.783,2,1,1,NA,1,1,67.61,67.61,69.678,1,1,1,NA,1,1,67.494,67.494,69.461,1,1,1,NA,1,1,68.068,68.655,71.131,2,1,1,NA,1,1,67.067,67.369,69.634,2,1,1,NA,1,1,68.467,68.467,70.706,1,1,1,NA,1,1,71.195,71.557,74.215,2,1,1,NA,1,1,1,0,0,23.745,0,Just take your time and try to find as many words as possible. Lots of words can be spelled forward and then a new word can be used using the same word backwards.,5.849,5.849,56.553,1,1,1,"No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,5,A few times a year,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,50,"zebra, hampster, horse, fox, snake, bird, dog, cat, lemer, bunny, squirrel, racoon, duck",4.819,4.819,65.006,1,1,31,Female,Other,orange,"Yes, I only spoke English growing up",NA,"yes, on the first practice page the images did not show up. I guess correctly thought the valid and invalid options though.",not sure,none,1,woln|nwsr|mpeh|lnpk|demi|eise,NA,ad23,NA,NA,0,3,4,7,5,6,6,woln_s,nwsr_s,mpeh_s,lnpk_s,demi_s,eise_s,6,6,5,7,4,3,5.166666667,2.166666667,1.471960144,5.5,33,13
R_1DORPeTyQY6Vpn7,Default Response Set,Anonymous,0,1,R_1DORPeTyQY6Vpn7,982,0,0,0,0,NA,Chrome,46.0.2490.86,Windows NT 6.1,1920x1200,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,0,0,4.532,0,1,0,0,15.192,0,1,0,0,23.359,0,1,1,1,1,1,17.914,41.786,45.539,5,31.744,31.744,36.092,1,1,1,NA,1,1,73.013,73.372,79.857,2,1,1,NA,1,1,69.388,69.668,72.822,2,1,1,NA,1,1,66.528,67.296,71.908,2,1,1,NA,1,1,68.878,69.118,71.025,2,1,1,NA,1,1,68.531,68.803,78.042,2,1,1,NA,1,1,68.314,68.52,71.5,2,1,1,NA,1,1,1,0,0,19.824,0,"Look for short words, at least three letters, as longer words don't give you more points. Look around vowels because almost all words have vowels in them, especially short words. The type of words you'll find will generally be consonant-vowel-consonant.",1.33,104.513,108.723,3,1,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,7,Less than once a year,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,20,"dog, cat, rat, koala, mouse, gerbil, fish, snake, bird, squirrel, chipmunk, ostrich, octopus, shark, whale, sea lion, lion, tiger, bear, puma, giraffe",2.528,2.528,65.005,1,1,30,Male,Other,orange,"Yes, I only spoke English growing up",NA,"No, everything went very smoothly.","How a word game might affect coming up with animal names, maybe.",Good luck with your research and results!,1,eise|demi|woln|lnpk|mpeh|nwsr,NA,ad24,NA,NA,1,7,11,8,6,7,6,eise_s,demi_s,woln_s,lnpk_s,mpeh_s,nwsr_s,7,11,6,8,6,7,7.5,3.5,1.870828693,7,40,22
R_1erZCUIEtRvM3LQ,Default Response Set,Anonymous,0,1,R_1erZCUIEtRvM3LQ,975,1,0,0,0,NA,Firefox,42,Windows NT 6.1,1600x900,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,7.15,7.15,9.07,1,1,0,0,5.937,0,1,0,0,19.82,0,1,1,1,1,1,6.689,35.248,41.028,10,12.014,35.44,39.9,3,1,1,NA,1,1,10.621,71.551,74.423,5,1,1,NA,1,1,67.213,73.317,76.37,3,1,1,NA,1,1,22.765,71.357,73.954,6,1,1,NA,1,1,65.079,71.486,78.9,3,1,1,NA,1,1,69.463,71.698,74.597,3,1,1,NA,1,1,64.745,70.472,73.192,3,1,1,NA,1,1,1,0,0,19.758,0,"Look for sequences of letters that likely indicate a word can be formed. Try and find what words you can from these sequences. Sequences include such letter combinations as SE, TA, LA, PL, CH, etc. Keeps going from letter sequence to letter sequence. Look to form both singular and plural forms of a word if you can.",1.777,148.341,151.312,2,1,1,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was as skilled as most people,10,A few times a year,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Mozilla Firefox,NA,60,"rat,dog, cat squirrel, horse,pig, bear,fish, bird, mouse,rabbit,cow,snake, turtle,alligator,worm,mole,chipmunk,giraffe,wease",3.675,3.675,65.028,1,1,54,Male,Other,orange,"Yes, I only spoke English growing up",NA,no,how we consider puzzles,NA,1,demi|eise|nwsr|lnpk|mpeh|woln,NA,ad03,NA,NA,1,6,12,6,13,9,9,demi_s,eise_s,nwsr_s,lnpk_s,mpeh_s,woln_s,12,6,9,6,13,9,9.166666667,8.566666667,2.926886856,9,57,8
R_1gIKns96RHv0P9X,Default Response Set,Anonymous,0,1,R_1gIKns96RHv0P9X,971,1,1,0,0,NA,Firefox,42,Windows NT 6.3,1366x768,19.0.0,NA,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,3.382,4.341,6.952,2,1,0,0,4.529,0,1,27.956,28.828,31.148,2,1,1,1,1,1,11.694,54.987,57.538,28,4.772,44.074,47.979,6,1,1,NA,1,1,2.589,78.496,81.229,6,1,1,NA,1,1,3.781,87.26,90.864,14,1,1,NA,1,1,6.571,81.263,82.478,4,1,1,NA,1,1,1.193,75.281,78.434,6,1,1,NA,1,1,3.152,77.867,79.388,5,1,1,NA,1,1,3.345,72.138,74.579,2,1,1,NA,1,1,1,0,0,19.107,0,My only advice is to make sure that you understand what you need to do with your mouse when clicking and holdling to select the letters.,1.85,1.85,51.994,1,1,1,I'm not sure,NA,NA,I was less experienced than most people,I was as skilled as most people,5,I never play word-finding games,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Mozilla Firefox,NA,19,bird bat cat elephant dog hare rabbit zebra ostrich aardvark kangaroo cheesemuffin puffin penguin snake doohickey eagle,1.782,1.782,65.01,1,1,52,Male,Other,orange,"Yes, I only spoke English growing up",NA,no,I have no idea.,NA,1,lnpk|eise|mpeh|nwsr|woln|demi,NA,ad04,NA,NA,1,3,3,3,4,6,3,lnpk_s,eise_s,mpeh_s,nwsr_s,woln_s,demi_s,3,3,4,6,3,3,3.666666667,1.466666667,1.211060142,3,26,17
R_1goTWC2iQOPLxc8,Default Response Set,Anonymous,0,1,R_1goTWC2iQOPLxc8,1012,0,0,0,0,NA,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,0,0,6.183,0,1,0,0,2.752,0,1,21.332,21.332,41.535,1,1,1,1,1,1,6.676,32.749,35.578,5,19.268,39.558,42.586,3,1,1,71jPuGE3B4,1,1,76.276,76.559,79.016,2,1,1,CgzV0lS6Ne,1,1,71.13,71.13,73.319,1,1,1,7uvI1rUI06,1,1,72.605,72.605,74.84,1,1,1,NFpq4e5rp,1,1,69.655,69.655,71.782,1,1,1,rc6vb31Vz,1,1,70.599,70.599,72.67,1,1,1,bc7vvvl8Wq,1,1,79.755,79.755,81.996,1,1,1,tJ1RnxQS1D,1,1,1,0,0,18.971,0,#NAME?,2.881,2.881,102.882,1,1,1,"Yes, I've played some version of this game before",Within the last year,Within the last 5 years,I was less experienced than most people,I was as skilled as most people,5,Less than once a year,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",,Google Chrome,NA,52,"Monkey,Donkey,Crocodile,cat,dog,deer,bear,giraffe,antelope,tiger,lion,rat,snake, / ",6.048,6.048,65.005,1,1,29,Male,Other,orange,"Yes, I only spoke English growing up",,,Not sure,,1,woln|eise|lnpk|mpeh|nwsr|demi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
