advisor,advice_text,advisor_prev_exp,advisor_prev_last,advisor_prev_first,advisor_rel_exp,advisor_rel_skill,advisor_avg_perf,advisor_prev_freq,advisor_input,advisor_browser,advisor_adv_imp,advisor_age,advisor_gender,advisor_mean,advisor_var,advisor_sd,advisor_median,advisor_advice_wordcount,advisor_animals_wordcount,advisor_efficacy,upper,lower,rank,eff_thirds,eff_3split
ad07,"Try to find small words that can be changed slightly to create many works - like pit, pat, pits, pats, etc. Once you click a letter, you can't un-click it, so be careful. If you can't remember if you have already spelled a word, try anyway - you won't be penalized.","Yes, I've played some version of this game before",Within the last year,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,10,A few times a year,trackpad,Mozilla Firefox,68,28,Female,8.166666667,6.166666667,2.483277404,8.5,49,19,5.144444444,5.756054461,4.532834428,78,Best,Best
ad14,Think small and don't overthink when it comes to combining words.,"No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was less skilled than most people,10,A few times a year,mouse,Google Chrome,50,23,Male,5.666666667,6.666666667,2.581988897,5.5,11,12,4.833333333,5.492754747,4.173911919,77,Best,Best
ad42,"Be as focused as you can. Quiet room. Start with 3 letter word. Check if a 4th letter like s can be added to make plural, etc.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,4,Less than once a year,mouse,Google Chrome,40,53,Male,8.166666667,1.766666667,1.329160136,9,26,7,4.7,5.539584398,3.860415602,76,Best,Best
ad30,"Go fast.Look for plurals.Look for the most obvious straight lines first.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,NA,NA,A few times a year,mouse,Google Chrome,9,41,Male,16.83333333,9.366666667,3.060501048,17,13,25,4.6,5.183195472,4.016804528,75,Best,Best
ad71,Look for small words first.  Look for words within words.  Look for words similar to the ones you just found.  Stick to one area as long as you're finding words quickly.  Look for words that end in -ed or -s if they're on the board.  Stick to areas that have letters that are common.,"No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,10,Less than once a year,mouse,Google Chrome,19,27,Female,11,9.2,3.033150178,10.5,54,18,4.444444444,5.184971647,3.703917242,74,Best,Best
ad05,Just go as fast as possible. Try to remember words you have already entered to save time.,"Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,I was as experienced as most people,I was as skilled as most people,18,A few times a month,mouse,Google Chrome,59,28,Female,17.66666667,15.46666667,3.932768321,17,17,19,4.433333333,5.161344322,3.705322344,73,Best,Best
ad62," Take your time clicking on the letters to make a word.  Be careful not to click on letters that would make your word invalid.  Don't pay attention to the clock or the number of words you have created as it might distract you or make you nervous.  Try not to focus on making big words, just try to focus or creating as many words as quickly as possible for points.","Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,I was as experienced as most people,I was less skilled than most people,20,A few times a year,trackpad,Google Chrome,45,40,Female,24.33333333,5.066666667,2.250925735,25,70,14,4.147368421,4.897860206,3.396876636,72,Best,Best
ad12,"Don't release the mouse button, doing so would enter in your incomplete word! ","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,10,A few times a month,mouse,Google Chrome,81,22,Male,10.33333333,7.066666667,2.658320272,9.5,13,27,4.13,4.825440035,3.434559965,71,Best,Best
ad11,My advice and only advice would be to never focus on one letter or set of letters.  You have to look at the whole board.,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,10,Less than once a year,trackpad,Google Chrome,59,26,Female,13.66666667,8.666666667,2.943920289,12.5,25,21,4.077777778,4.818937245,3.33661831,70,Best,Best
ad02,"look for easy words, dont try to over think.",I'm not sure,NA,NA,I was less experienced than most people,I was less skilled than most people,4,A few times a year,mouse,Google Chrome,32,65,Male,3.833333333,3.766666667,1.940790217,3.5,9,11,4.03,4.423171986,3.636828014,69,Best,Best
ad43,"Look for short words. If there is an s, er, or ed available look to make combinations like plurals and tenses. Controls are tricky, be patient.","Yes, I've played some version of this game before",Within the last month,More than 5 years ago,I was more experienced than most people,I was more skilled than most people,12,A few times a year,mouse,Mozilla Firefox,63,42,Male,9.833333333,17.36666667,4.16733328,9,26,32,3.968421053,4.576411349,3.360430756,68,Average,Best
ad78,"- You CAN make the same word twice, just not with the same letters. If you have two of the letter ""s"" next to each other and can connect them to the same word twice, do it.- Don't worry about longer words until later in the game, focus on short quic","Yes, I've played some version of this game before",Within the last year,Within the last 3 years,I was as experienced as most people,I was as skilled as most people,20,A few times a month,mouse,Google Chrome,80,19,Male,17.66666667,15.06666667,3.881580434,17.5,73,16,3.95,4.58076812,3.31923188,67,Average,Best
ad19,"Be careful dragging the cursor in this game. It is not very accurate. Also, it does not matter how long the words are. For maximum points, stick to 3-letter words if possible.","Yes, I've played some version of this game before",Within the last year,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,7,A few times a year,mouse,Google Chrome,60,29,Male,19.16666667,12.56666667,3.544949459,19,32,30,3.922222222,4.581225012,3.263219433,65.5,Average,Best
