participant,ResponseID,ResponseID,Q_TotalDuration,eise_c,eise_s,ad01,ad02,ad03,ad04,ad05,ad06,ad07,ad08,ad09,ad10,ad11,ad12,ad13,ad14,ad15,ad16,ad17,ad18,ad19,ad20,ad21,ad22,ad23,ad24,ad25,ad26,ad27,ad28,ad29,ad30,ad31,ad32,ad33,ad34,ad35,ad36,ad37,ad38,ad39,ad40,ad41,ad42,ad43,ad44,ad45,ad46,ad47,ad48,ad49,ad50,ad51,ad52,ad53,ad54,ad55,ad56,ad57,ad58,ad59,ad60,ad61,ad62,ad63,ad64,ad65,ad66,ad67,ad68,ad69,ad70,ad71,ad72,ad73,ad74,ad75,ad76,ad77,ad78,catch1,catch2,Q16,prev_exp,prev_last,prev_first,prev_freq,rel_exp,rel_skill,avg_perf_1_TEXT,input,input_TEXT,browser,browser_TEXT,age,gender,catch,catch_TEXT,language,language_TEXT,bugreport,hyp,comments,HITcode,DO-BL-Advice,exclude,exclude_why,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,r_26,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26
288,R_00yafGILnd0HgZ3,R_00yafGILnd0HgZ3,598,Lx7puxl472,17,5,NA,NA,NA,NA,1,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,5,2,6,NA,NA,NA,NA,NA,NA,5,NA,NA,3,NA,5,NA,NA,3,NA,NA,1,NA,4,NA,2,NA,5,NA,5,NA,NA,NA,2,3,4,NA,5,NA,NA,NA,NA,5,NA,4,NA,NA,2,NA,NA,NA,4,NA,4,4,1,"Yes, I've played some version of this game before",Over a year ago,Within the last 3 years,Less than once a year,More experienced,I was as skilled as most people,15,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,28,Female,Other,trout,"Yes, I only spoke English growing up",NA,No.,To see how well people do in a word find and then see if the advice they picked as helpful would have helped them improve.,None.,1,ad29|ad47|ad68|ad22|ad53|ad61|ad39|ad11|ad77|ad51|catch1|ad21|ad63|ad06|ad27|ad55|ad49|ad44|ad73|ad70|ad60|catch2|ad59|ad41|ad09|ad01|ad28|ad36,NA,NA,ad29,ad47,ad68,ad22,ad53,ad61,ad39,ad11,ad77,ad51,ad21,ad63,ad06,ad27,ad55,ad49,ad44,ad73,ad70,ad60,ad59,ad41,ad09,ad01,ad28,ad36,6,1,5,3,5,4,3,4,4,2,5,5,1,5,5,4,3,2,4,3,2,5,4,5,2,5
7,R_0iiwwPa6QLkoOwF,R_0iiwwPa6QLkoOwF,373,F5dfK0SL90,14,NA,NA,NA,NA,5,NA,NA,5,6,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,6,NA,NA,NA,NA,NA,NA,3,NA,5,NA,5,6,NA,NA,NA,NA,5,NA,NA,NA,6,NA,NA,4,NA,5,6,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,5,6,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,6,NA,NA,NA,NA,4,4,1,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,A few times a year,Less experienced,I was less skilled than most people,25,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,23,Female,Other,trout,"Yes, I only spoke English growing up",NA,NA,How well people play a game and whether advice is helpful,NA,1,ad48|ad74|ad50|ad21|ad61|ad32|ad20|ad54|ad66|ad68|catch1|ad60|ad28|ad08|ad19|ad09|ad67|ad05|ad42|ad65|ad45|catch2|ad69|ad13|ad47|ad38|ad33|ad30,NA,NA,ad48,ad74,ad50,ad21,ad61,ad32,ad20,ad54,ad66,ad68,ad60,ad28,ad08,ad19,ad09,ad67,ad05,ad42,ad65,ad45,ad69,ad13,ad47,ad38,ad33,ad30,6,6,7,6,6,5,5,7,6,6,5,3,5,5,6,6,5,6,6,4,6,5,5,5,6,5
11,R_10JzI6hRG5Quj4O,R_10JzI6hRG5Quj4O,576,mwOu3uXkC,10,NA,NA,5,NA,NA,NA,6,NA,NA,6,NA,5,NA,NA,NA,NA,7,NA,6,1,NA,NA,NA,NA,7,NA,NA,1,NA,NA,5,NA,7,NA,NA,NA,6,NA,5,NA,NA,6,7,2,NA,NA,6,NA,NA,NA,7,5,NA,NA,NA,NA,6,NA,NA,NA,6,NA,7,NA,NA,6,NA,NA,7,NA,NA,NA,NA,NA,4,NA,NA,6,4,4,1,"No, I've never played any version of this game before",NA,NA,A few times a year,As experienced,I was as skilled as most people,12,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,23,Male,Other,trout,"Yes, I only spoke English growing up",NA,Everything worked fine.,"To see how people judge advice for a game after playing the game, then read the advice given.",Thanks!,1,ad63|ad39|ad44|ad19|ad57|ad43|ad25|ad47|ad42|ad69|catch1|ad31|ad10|ad17|ad12|ad51|ad03|ad33|ad75|ad78|ad52|catch2|ad20|ad66|ad28|ad61|ad07|ad37,NA,NA,ad63,ad39,ad44,ad19,ad57,ad43,ad25,ad47,ad42,ad69,ad31,ad10,ad17,ad12,ad51,ad03,ad33,ad75,ad78,ad52,ad20,ad66,ad28,ad61,ad07,ad37,7,5,2,6,6,7,7,6,6,7,5,6,7,5,7,5,7,4,6,5,1,6,1,6,6,6
69,R_10PBSuiKqLRL5m4,R_10PBSuiKqLRL5m4,1182,Yr1xLeEeaX,4,NA,NA,NA,NA,5,NA,NA,7,NA,7,7,NA,6,NA,NA,NA,7,NA,7,3,7,NA,NA,NA,NA,NA,7,3,NA,NA,5,NA,NA,7,NA,NA,NA,NA,NA,6,NA,7,NA,NA,2,NA,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,7,NA,7,7,4,NA,NA,4,4,1,"No, I've never played any version of this game before",NA,NA,Less than once a year,Less experienced,I was less skilled than most people,7,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Internet Explorer,NA,58,Female,Other,trout,"Yes, I only spoke English growing up",NA,no,"How to help playing a word game, giving advise",none,1,ad13|ad55|ad72|ad42|ad60|ad45|ad69|ad17|ad21|ad20|catch1|ad34|ad19|ad67|ad49|ad75|ad74|ad76|ad27|ad05|ad10|catch2|ad08|ad11|ad28|ad40|ad31|ad52,NA,NA,ad13,ad55,ad72,ad42,ad60,ad45,ad69,ad17,ad21,ad20,ad34,ad19,ad67,ad49,ad75,ad74,ad76,ad27,ad05,ad10,ad08,ad11,ad28,ad40,ad31,ad52,6,7,7,7,4,2,7,7,7,3,7,7,7,5,7,7,4,7,5,7,7,7,3,6,5,7
138,R_10UZBiGvqAkS43a,R_10UZBiGvqAkS43a,633,6QDJlv2Fqo,7,5,NA,5,3,5,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,6,5,NA,3,NA,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,5,NA,NA,NA,NA,NA,6,6,NA,5,5,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3,NA,NA,5,6,4,4,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,As experienced,I was less skilled than most people,10,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,29,Male,Other,trout,"Yes, I only spoke English growing up",NA,NA,NA,NA,1,ad19|ad24|ad47|ad25|ad59|ad71|ad03|ad53|ad29|ad78|catch1|ad01|ad77|ad54|ad44|ad62|ad05|ad06|ad04|ad74|ad27|catch2|ad57|ad56|ad43|ad17|ad12|ad35,NA,NA,ad19,ad24,ad47,ad25,ad59,ad71,ad03,ad53,ad29,ad78,ad01,ad77,ad54,ad44,ad62,ad05,ad06,ad04,ad74,ad27,ad57,ad56,ad43,ad17,ad12,ad35,5,6,5,5,3,6,5,6,6,6,5,5,6,4,5,5,4,3,3,3,5,5,5,5,5,5
262,R_114N7wz7cFz0FWV,R_114N7wz7cFz0FWV,480,hseUKjVBXr,16,5,NA,NA,NA,NA,NA,6,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,3,NA,NA,5,NA,NA,NA,5,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,4,5,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,3,3,NA,NA,5,NA,5,NA,NA,NA,NA,NA,4,6,NA,3,NA,5,NA,5,NA,4,4,1,"Yes, I've played some version of this game before",Within the last month,Within the last 6 months,A few times a month,As experienced,I was as skilled as most people,14,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,36,Male,Other,trout,"Yes, I only spoke English growing up",NA,no,n/a,NA,1,ad77|ad53|ad73|ad70|ad30|ad07|ad58|ad09|ad01|ad71|catch1|ad26|ad55|ad59|ad43|ad62|ad45|ad21|ad64|ad46|ad48|catch2|ad31|ad11|ad75|ad19|ad23|ad35,NA,NA,ad77,ad53,ad73,ad70,ad30,ad07,ad58,ad09,ad01,ad71,ad26,ad55,ad59,ad43,ad62,ad45,ad21,ad64,ad46,ad48,ad31,ad11,ad75,ad19,ad23,ad35,5,5,3,4,5,6,3,3,5,6,5,5,3,5,5,4,5,5,5,5,3,4,5,5,3,4
316,R_11apYNZ7JCxyvWG,R_11apYNZ7JCxyvWG,1335,L1ESJ0HlnY,6,NA,NA,NA,NA,NA,5,NA,NA,NA,7,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,NA,6,NA,NA,6,5,NA,5,NA,NA,5,6,5,NA,NA,4,NA,1,7,NA,NA,NA,NA,5,NA,4,6,6,5,5,NA,4,NA,4,NA,NA,NA,4,4,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,Less experienced,I was as skilled as most people,5,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,38,Female,Other,trout,"Yes, I only spoke English growing up",NA,no,rating constructive critiscm,NA,1,ad49|ad71|ad65|ad15|ad69|ad57|ad41|ad60|ad59|ad10|catch1|ad70|ad28|ad53|ad54|ad68|ad46|ad23|ad17|ad43|ad52|catch2|ad73|ad47|ad39|ad06|ad67|ad75,NA,NA,ad49,ad71,ad65,ad15,ad69,ad57,ad41,ad60,ad59,ad10,ad70,ad28,ad53,ad54,ad68,ad46,ad23,ad17,ad43,ad52,ad73,ad47,ad39,ad06,ad67,ad75,5,5,5,6,6,4,7,7,1,7,5,1,6,5,6,6,4,6,6,5,4,5,5,5,4,4
185,R_11jfn95qbS1eDca,R_11jfn95qbS1eDca,1899,wOaps77Fm5,2,NA,5,NA,NA,6,NA,NA,NA,3,NA,5,4,NA,5,NA,NA,6,3,6,6,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,5,5,6,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,5,5,6,6,5,6,1,"No, I've never played any version of this game before",NA,NA,I never play word-finding games,As experienced,I was as skilled as most people,7,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Mozilla Firefox,NA,34,Female,Other,trout,"Yes, I only spoke English growing up",NA,NA,NA,NA,1,ad76|ad78|ad11|ad48|ad72|ad20|ad60|ad38|ad47|ad30|catch1|ad42|ad17|ad77|ad75|ad05|ad18|ad19|ad26|ad12|ad14|catch2|ad09|ad02|ad67|ad54|ad53|ad46,2,missed rating catch,ad76,ad78,ad11,ad48,ad72,ad20,ad60,ad38,ad47,ad30,ad42,ad17,ad77,ad75,ad05,ad18,ad19,ad26,ad12,ad14,ad09,ad02,ad67,ad54,ad53,ad46,5,6,5,6,5,6,5,5,5,4,4,6,6,5,6,3,6,5,4,5,3,5,6,5,5,5
38,R_11WSOZZKNuoQsfv,R_11WSOZZKNuoQsfv,836,vSH1ntOtK,6,NA,NA,NA,NA,5,5,NA,NA,NA,7,5,NA,NA,5,5,5,6,6,NA,NA,NA,NA,6,NA,NA,NA,6,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,6,6,NA,NA,NA,5,NA,6,NA,NA,NA,NA,3,5,NA,NA,6,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,7,5,NA,NA,4,4,1,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,A few times a year,As experienced,I was as skilled as most people,6,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,46,Female,Other,trout,"Yes, I only spoke English growing up",NA,no,I'm not sure.,NA,1,ad10|ad16|ad55|ad40|ad56|ad75|ad39|ad59|ad76|ad27|catch1|ad51|ad70|ad23|ad17|ad71|ad05|ad37|ad46|ad18|ad11|catch2|ad15|ad52|ad06|ad29|ad14|ad44,NA,NA,ad10,ad16,ad55,ad40,ad56,ad75,ad39,ad59,ad76,ad27,ad51,ad70,ad23,ad17,ad71,ad05,ad37,ad46,ad18,ad11,ad15,ad52,ad06,ad29,ad14,ad44,7,5,6,6,7,7,6,3,5,6,3,5,6,6,7,5,5,6,6,5,5,5,5,5,5,5
303,R_12JWuzOl1PcqCfw,R_12JWuzOl1PcqCfw,515,Rf7r5z6XD,11,7,7,NA,5,NA,NA,NA,NA,NA,7,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,NA,NA,NA,7,7,NA,7,7,5,NA,7,7,NA,7,7,NA,7,7,NA,NA,7,NA,NA,7,NA,7,7,4,4,1,"No, I've never played any version of this game before",NA,NA,I never play word-finding games,Less experienced,I was less skilled than most people,10,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,26,Male,Other,trout,"Yes, I only spoke English growing up",NA,I did not. ,Our ability to identify words in a puzzle. ,NA,1,ad75|ad19|ad56|ad37|ad59|ad78|ad45|ad13|ad77|ad55|catch1|ad50|ad63|ad68|ad65|ad02|ad10|ad31|ad58|ad72|ad66|catch2|ad60|ad04|ad01|ad23|ad69|ad62,NA,NA,ad75,ad19,ad56,ad37,ad59,ad78,ad45,ad13,ad77,ad55,ad50,ad63,ad68,ad65,ad02,ad10,ad31,ad58,ad72,ad66,ad60,ad04,ad01,ad23,ad69,ad62,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7
