advice_id,advicetext,authoritative,actionable,articulate,amount,affirmatives,negatives,obviousness
ad24,"Look for short words, at least three letters, as longer words don't give you more points. Look around vowels because almost all words have vowels in them, especially short words. The type of words you'll find will generally be consonant-vowel-consonant.",7,7,6,4,3,1,4
ad63,"You should not worry too much about getting longer words, since they don't count for more points. Find three letter words and if possible add an ""s"" on to the end or beginning. Do a lot of work around the ""s"". Try to start with one letter until it's exhausted so you don't forget where you've been.",6,6,5,6,5,1,5
ad07,"Try to find small words that can be changed slightly to create many works - like pit, pat, pits, pats, etc. Once you click a letter, you can't un-click it, so be careful. If you can't remember if you have already spelled a word, try anyway - you won't be penalized.",6,6,7,3,2,1,5
ad68,"Here's some advice for how to do well on the Word Scramble game.  Look quickly for the available vowels in the game.  Then look for consonants that are adjacent to the vowels.  Try to scan the letters as quickly as possible to come up with words.  Keep a mental track of the words you have already identified, as you will not get credit for duplicate words.  Try to stay calm and not get flustered as the time ticks down.  Just keep scanning the letters in all directions looking for new words until time runs out.    ",6,7,6,7,6,1,6
ad17,"Make small words. Try to use variations of the same word bases  for, fore, ford, fords, etc",6,5,3,2,2,0,6
ad22,"Try to focus on the vowels. Notice where the A E I O U's are to help get an idea of what words you can make. Be aware of were S's are, they are a good way of turning 1 word into 2 using a plural.",6,7,4,3,3,0,6
ad50,"Don't be concerned about making long words with more letters, all words are worth 1 point. Still use the plurals though - leap as well as leaps - whenever possible for more points.",6,4,3,2,2,0,4
ad71,Look for small words first.  Look for words within words.  Look for words similar to the ones you just found.  Stick to one area as long as you're finding words quickly.  Look for words that end in -ed or -s if they're on the board.  Stick to areas that have letters that are common.,7,5,7,6,6,0,5
ad52,"Keep your fingers moving; look for common suffixes, e.g., -ear, -art, -are so that you can add a letter before them (e.g., -art, could be dart, part, etc); continuously scan back and forth, up and down.  Make sure your touch pad or mouse are smooth and easy to use so you don't accidentally flow onto a letter you don't want because you can't go backwards.  If you see a Q but no U, obviously don't click on it. Scan for common letters as well.  Look for the most commonly used words, like ""and"".  Most importantly, the more you play, the better you will get.  And take your time - if you rush, you'll be putting pressure on yourself and you will not find as many words as you are capable of.",6,6,6,10,8,2,2
ad09,"1. Look for words all in one row first / 2. The same words seem to appear across multiple boards / 3. Keep it short, focus on three letter words. / 4. Look at the vowels and see if you can build around those",6,6,3,5,5,0,6
