advisor,advice_text,wordcount,TEACHER.perception.of.effectiveness,age,gender,TEACHER.PERFORMANCE.(low.is.bad),STUDENT.improvement,STUDENT.Perception.of.advice.quality.(help),STUDENT.perception.of.advice.quality.(improvement),RATER.perception.of.advice.quality.(helpfulness)
ad24,"Look for short words, at least three letters, as longer words don't give you more points. Look around vowels because almost all words have vowels in them, especially short words. The type of words you'll find will generally be consonant-vowel-consonant.",40,20,30,Male,7.5,2.53,5.75,52.05,5.739583333
ad63,"You should not worry too much about getting longer words, since they don't count for more points. Find three letter words and if possible add an ""s"" on to the end or beginning. Do a lot of work around the ""s"". Try to start with one letter until it's exhausted so you don't forget where you've been.",57,39,25,Male,15.16666667,3.47,5.7,54.15,5.596153846
ad07,"Try to find small words that can be changed slightly to create many works - like pit, pat, pits, pats, etc. Once you click a letter, you can't un-click it, so be careful. If you can't remember if you have already spelled a word, try anyway - you won't be penalized.",49,68,28,Female,8.166666667,5.144444444,5.611111111,46.61111111,5.621359223
ad68,"Here's some advice for how to do well on the Word Scramble game.  Look quickly for the available vowels in the game.  Then look for consonants that are adjacent to the vowels.  Try to scan the letters as quickly as possible to come up with words.  Keep a mental track of the words you have already identified, as you will not get credit for duplicate words.  Try to stay calm and not get flustered as the time ticks down.  Just keep scanning the letters in all directions looking for new words until time runs out.    ",95,35,56,Female,6.333333333,2.25,5.6,47.3,5.56122449
ad17,"Make small words. Try to use variations of the same word bases  for, fore, ford, fords, etc",17,50,35,Male,12.83333333,3.33,5.35,49.78947368,5.563829787
ad22,"Try to focus on the vowels. Notice where the A E I O U's are to help get an idea of what words you can make. Be aware of were S's are, they are a good way of turning 1 word into 2 using a plural.",44,30,27,Male,10.16666667,3.86,5.25,47.4,5.524271845
ad50,"Don't be concerned about making long words with more letters, all words are worth 1 point. Still use the plurals though - leap as well as leaps - whenever possible for more points.",30,71,32,Female,10.5,3.128571429,5.214285714,55.35714286,5.554455446
ad71,Look for small words first.  Look for words within words.  Look for words similar to the ones you just found.  Stick to one area as long as you're finding words quickly.  Look for words that end in -ed or -s if they're on the board.  Stick to areas that have letters that are common.,54,19,27,Female,11,4.444444444,5.166666667,54.27777778,5.58
ad52,"Keep your fingers moving; look for common suffixes, e.g., -ear, -art, -are so that you can add a letter before them (e.g., -art, could be dart, part, etc); continuously scan back and forth, up and down.  Make sure your touch pad or mouse are smooth and easy to use so you don't accidentally flow onto a letter you don't want because you can't go backwards.  If you see a Q but no U, obviously don't click on it. Scan for common letters as well.  Look for the most commonly used words, like ""and"".  Most importantly, the more you play, the better you will get.  And take your time - if you rush, you'll be putting pressure on yourself and you will not find as many words as you are capable of.",130,30,60,Female,15.83333333,2.831578947,5.157894737,45.89473684,5.47
ad09,"1. Look for words all in one row first / 2. The same words seem to appear across multiple boards / 3. Keep it short, focus on three letter words. / 4. Look at the vowels and see if you can build around those",37,73,24,Male,5.833333333,3.92,5.15,44.2,5.37
