advisor,advisornum,advisorThrow0,advisorThrow1,advisorThrow2,advisorThrow3,advisorThrow4,advisorThrow5,advisorThrow6,advisorThrow7,advisorThrow8,advisorThrow9,advisorThrow10,advisorThrow11,advisorThrow12,advisor_misses,advisor_handed,advisor_obs,advisor_playedbefore,advisors_playedyears,advisor_playedoften,advisor_adv_helpf,advisor_well,advisor_advicebefore,advisor_english,advisor_age,advisor_gender,advisor_hyp,advisor_advice_text,advisor_advice_wordcount
AD10,10,-99,7.9,4.5,1.5,2.9,3.6,1.6,6.7,3.8,0.5,2.8,2.9,4.7,0,,0,no,,,3,3,no,yes,36,female,"Attribution of sucess to performance (in other words, does why you performed a certain way have anything to do with how you performed.)","My advice is to lean into the dart throw, releasing the dart when your hand is in alignment with your target. Also, take a moment to make sure you don't have a gust of wind coming!",36
AD100,100,-99,5.6,-99,7.4,4.9,-99,4,1.5,6.8,-99,7.4,1.7,7.5,3,R,0,yes,30,every few years or less,4,3,no,yes,59.5,female,How my experience affected my advice? How my self opinion affected my performance?,"Darts are lightweight & easily affected by wind.
 You need to throw w/ a steady power, but too hard & the darts bounce off board.
 My best option seemed to be to throw them a little higher than you think you need to & they'll drift down.",47
AD101,101,6.7,4.1,6.9,-99,3.5,3.2,1.9,6,5.5,1.8,4.9,6.6,4,1,R,0,yes,5,every few years,2,3,no,yes,35,male,Willingness to give advice based on self-perception of skill level at an activity?,Work on isolating the movement to as few moving parts as possible. Consistent movement may reduce variability of throws...?,19
AD102,102,-99,5.2,1.2,7.2,4.4,7.5,6.7,4,5.8,2.3,0.6,6.9,3.5,0,R,0,yes,70,every few years,4,3,no,yes,81,male,Dealing of the great public,"Adjust for wind
Aim high
Concentrate
Don't waste time",6
AD103,103,4.2,1.2,3.4,2,3.5,7.7,3.1,7.2,5.7,2.1,2.4,2.6,4.4,0,R,0,yes,~10,a few times a year,4,3,yes,yes,27,male,How much explicitly writing down thoughts affects your playing ability (if you make one throw again) or advice versus skill,Put your dominant foot in front of the other. Put equal weight on each foot & center your centre of gravity. Grab each dart right below the magnet in 2 fingers & your thumb. Throw fairly lightly as bounce is significant. Aim slightly higher than the bullseye as it will slide down after contact. Neglect gravity due to your proximity. Use your arm as a lever to it pointed at the target & parallel to the ground. Due do not lean forward on a lot when you throw.,88
AD104,104,7.7,3.1,3.4,6,5.5,2,2.5,1.1,3.7,3.3,4,6.2,2.8,0,R,0,yes,20,every few years,2,3,no,yes,36,female,confidence,"I don't think there is any written advice that can help you; sorry! The best advice is to practice darts in your spare time. Other than that, just relax & try to hit the bullseye.",35
AD105,105,5,-99,-99,2.5,2,5,6,7.4,-99,-99,7,6.2,2.8,4,R,1,yes,40,every few years,4,2,no,yes,57,male,How different people react to success / failure. How finfident they are about giving advice on a task they might not be good at.,"1) Be aware that there will be a pause after each throw, and a longer pause after 6. Thus you need to stay relaxed and concentrate to get momentum and get in the groove.
 2) The darts will fall off the target sometimes (if they hit the metal ribs.) This does not mean they were bad shots!
 3) The target is really close. Just relax and you'll get it! (And don't feel bad if you miss the target completely.)",79
AD106,106,4,4.1,0.8,2.9,4.9,2.4,2.1,1,1.4,2.3,1.3,4.2,2.1,0,R,1,yes,9,a few times a year,6,4,no,yes,32,female,To what extent do people feel like a good authority on a game or task they have little experience in,"The darts are weighted from the magnetic tip, aiming higher than the bullseye would improve accuracy.",16
AD107,107,-99,-99,0.9,7.4,6,-99,5.1,3.4,5.5,3.9,2.4,3.5,2.6,2,R,0,yes,8,a few times a year,4,3,no,yes,36,female,How well you can interpret what actions you've just completed into a meaningful written instruction,"aim! throw the dart higher than you think you need to, and aim above the bullseye. lean into the throw with your leg opposite your throwing arm.",27
AD108,108,3.3,7,3.3,1.5,4.2,4.4,1.5,4.7,2.1,0.8,0.7,3.9,4.4,0,R,2,yes,20+,every few years,4,3,no,yes,40,male,Male vs. female coordination,"Aim small, miss small.",4
AD109,109,-99,-99,3.1,5.8,5.2,9.2,5.4,2.4,3.6,5.2,-99,5.9,6.6,2,R,0,yes,10,every few years,3,2,no,yes,36,male,No clue.,"SOME DARTS DO NOT STAY ON THE BOARD. THE FEEL OF THE MAGNETIC DARTS IS DIFFERENT THAN NORMAL, AND TAKES SOME GETTING USED TO. MY AIM/FOCUS WAS ON THE CENTER BUT THE BEST THROWS CAME WHEN I LOOKED ABOVE THE TARGET AND ALIGNED MY HAND W/ MY NOSE.",48
AD110,110,4.9,5.5,3.1,1,1.2,3.1,4.5,2.4,1.7,5.6,1.4,1.4,1.4,0,R,0,yes,10,every few years,4,3,no,yes,21,male, How one's performance (objective & perceived) influences the advice they give to others,"1) step as close to the line as you are allowed to
 2) Try to limit motion in parts of your body other than your throwing arm
 3) Try not to blink as you throw
 4) Stand up straight
 5) Relax
 6) Establish a rhythm between throws",47
AD111,111,1.1,2.1,0.8,4.9,1,2.4,4.4,1.5,3,4.9,3.6,1.7,2.8,0,R,0,no,10,every few years,4,3,no,yes,30,male,spacing or correlation b/t advice & accuracy',"Every time you throw pay attention to your body not just where the dart lands, try to correct your movements.",20
AD112,112,5.5,-99,4.4,4.5,-99,4.2,-99,2.4,6.9,1.6,5.7,4.1,3,3,R,0,yes,3,every few years,3,1,no,yes,24,female,Patience.,"- Have good aim or good eyesight.
 - Extend your arm completely when throwing the dart since you can't step forward.",21
AD113,113,3.9,1.4,-99,-99,2.6,6.5,7.4,-99,4.5,3.3,3.7,1.6,2.5,3,R,0,yes,15,every few years,4,4,no,no,23,male,Assessing how people react to initial performance @ throwing darts.,"- Don't throw too forcefully
 - Focus on the center. I found it helpful. 
 - Closing one eye and throwing was more difficult.",24
AD114,114,1.2,5.7,2.9,0.6,2.4,2.6,0.5,2.7,4.4,0.7,3.4,2.9,3.1,0,R,0,yes,~10-12,every few years,4,3,yes,yes,21,male,"I don't know honestly, maybe confidence",Don't overcompensate for misses. Watch where you release the dart.,10
AD115,115,2.7,3.4,0.1,3.5,5.7,1.4,4,1.5,6.3,5.5,2.2,4.2,-99,1,R,1,yes,15,a few times a year,4,3,yes,yes,30,male,Something to do with self assessment maybe? I don't know,Hold the darts where the tip meets the tail.,9
AD116,116,7.6,3.5,2,2.9,6.6,5.7,3.4,-99,5.5,4.4,3.3,7.3,-99,2,R,1,yes,4,every few years,4,3,no,no,25,male,"A studing [study] on how people learn, come to conclusions and explain what they have learned to someone else.","Hello, (to the one coming after me)
 I'd recommend you to stay calm, put your strongest foot a little bit forward. Don't throw the ""arrows"" too strong because it will not stick to the bord. However, if you will throw it too weak from two main reasons:
 1. Maybe you will not get to the bourd.
 2. the arrow will have a balistic path and therefore you will loose accuracy.",70
AD117,117,4.9,1.7,3.9,2.1,3.4,6.3,5.4,3.5,1.6,1.7,1.9,5.8,3.5,0,,2,yes,5+,every few years,5,3,no,no,21,male,Communicating human motion mechanics or distiguishing levels of advise based on success at game?,"- Follow through with arm movement, keeping your hands, elbows, wrists, and shoulders on a straight axis (maintain pointer finger for follow through) 
 - Foot placement is important. Place lead foot towards center of dartboard and adjust back leg accordi",41
AD118,118,5,4.5,3.2,-99,2.8,2.7,3.1,7.4,2.1,4.6,4.6,5.9,2.8,1,L,0,no,,,4,3,no,yes,19,male,"Measuring how performance during the game affects the type of advice given & how giving advice / how well you played affects how well you think you did, tl;dr - some sort of psych study","- Aim a little bit higher than the target (depending on how hard you throw, the dart will drop variable amounts during its flight)
 - Try to repeat the same motion each time. Any variance in form will affect your throws (and take you longer to get better",58
AD119,119,3.7,5,1.6,1.4,0.9,1,1.3,1.3,2.4,0.5,1.3,1.5,1.3,0,R,0,yes,7,every few years,6,4,no,yes,25,male,#NAME?,"- grab the dart in a specific way that feels most comfortable to you. (Make sure you grab it the same way everytime)
 - aim for the bullseye on your practice throw. (make sure to fully extend your arm when you release the dart)
 - after taking note of h",99
AD120,120,4.9,1.3,3,6.4,1.7,2.4,4.8,2.3,6.1,7.6,-99,1.1,0.3,1,R,1,yes,8,every few years,4,3,no,yes,26,female,Perhaps precision vs. accuracy. Another guess is total Focus time & whether it helps in such a game. Or the psychology of explanation / sharing success secrets,"Slightly bend your knees with your feet shoulder width apart and your dominant foot forward of the other. The magnet darts throw more like pebbles than actual darts. Hold the dart with your fingertips of your dominant side and toss (I aim slightly above the target anticipating the drop). When you throw, lock your arm (at elbow) straight so your arm is pointing right where you want the dart to go. No matter how you do, remember that it's only a game of darts and you can go practice at the pub anytime to increase your skill level. Have a nice day. Love [name]",104
AD121,121,4.4,7,5.7,8,1.8,4.1,6.4,6.1,1.4,4,2,1.4,3,0,R,0,yes,5,every few years,4,3,yes,yes,29,male,How people give directions and/or the way people's writing style has changed. Or to see how many people are willing to offer their time for science study stuff? It's probably not about darts.,"Honesty, don't overthink it. The more I focused, the worse I did.
 The one tip that I'd give which seemed to help a little bit is pointing your dominant foot straight at the target with the other slightly behind you.
 You've got this one, champ. 
 Love,
 A Fellow Participant",50
