condition,advisor,participant,Answer.surveycode,Finished,Q_TotalDuration,iud_c,advc_i_t_3,adv_t_3,hjt_c,ypl_c,sqt_c,jfm_c,lnc_c,Prev.Games_1,Prev.Games_2,Prev.Games_3,Prev.Games_3_TEXT,Prev.Games_4,Play.Rate,PlayHistor,adv_skl,adv_comp,adv_help_hyp,adv_eff_hyp,adv_help,adv_eff_1,Subjec.Exp,SubjSkill,avg_perf_1_TEXT,adv_perf_1_TEXT,input,input_TEXT,browser,age,gender,randomized_order,Exclude,Exclude_why,baseline,advisor_pid,advisor_start.date,advisor_ResponseID,advisor_duration,advisor_browser_meta,advisor_consent_t_3,advisor_Intro_t_3,advisor_Line_t_3,advisor_Line2_c,advisor_Practice_c,advisor_itz_c,advisor_iud_c,advisor_hjt_c,advisor_ypl_c,advisor_sqt_c,advisor_yto_c,advisor_jfm_c,advisor_kte_c,advisor_bga_c,advisor_lnc_c,advisor_board_mean,advisor_board_median,advisor_adv_inst_t_3,advisor_advice,advisor_advice_t_3,advisor_subexp,advisor_subskill,advisor_input,advisor_browser_report,advisor_avg_perf,advisor_adv_eff_1,advisor_age,advisor_gender,advisor_vision,advisor_language,advisor_language2,StudyGuess.y,Comments.y,advisor_board_order,advisor_b1,advisor_b2,advisor_b3,advisor_b4,advisor_b5,advisor_b6,advisor_b7,advisor_b8,advisor_b9,advisor_b10,advisor_s1,advisor_s2,advisor_s3,advisor_s4,advisor_s5,advisor_s6,advisor_s7,advisor_s8,advisor_s9,advisor_s10,baseline
treatment,ap13,1164,R_R21yiL7pFvwIGWt,1,500,3,16.395,16.65,31.672,29.975,32.128,23.992,20.632,NA,NA,NA,NA,1,NA,NA,2,2,,,5,39,2,2,30,28,mouse,NA,Google Chrome,26,Male,adv_header|ap13|adv_t|Q151,NA,NA,3,99,42289.81667,R_3CPFibPRGOf1Zq0,596,Chrome,15.058,11.049,4.103,4.337,22.339,59.744,20.975,35.886,19.108,31.188,26.158,40.408,16.124,19.242,27.6,29.6433,26.879,16.651,try starting by connecting the dots that are closest together first. then weave dots together around those. finish around the perimeter of the board last.,31.67,2,2,mouse,Google Chrome,20,52,31,Female,1,1,NA,unsure,NA,itz|hjt|bga|lnc|sqt|jfm|ypl|yto|kte|iud,itz_c,hjt_c,bga_c,lnc_c,sqt_c,jfm_c,ypl_c,yto_c,kte_c,iud_c,59.744,35.886,19.242,27.6,31.188,40.408,19.108,26.158,16.124,20.975,3
treatment,ap53,721,R_2anbcS77eGsiSR8,1,735,4.804,16.307,13.457,33.126,30.894,3.496,16.117,27.87,1,NA,NA,NA,NA,4,3,2,2,,,3,0,2,2,30,30,mouse,NA,Internet Explorer,23,Female,adv_header|ap53|adv_t|Q151,NA,NA,4.804,94,42289.81042,R_10OD8ELukTlONPA,875,Firefox,2.286,11.231,13.797,3.671,31.968,22.887,36.887,142.707,24.8,65.824,89.382,38.222,51.14,62.366,28.328,56.2543,44.681,16.508,Don't be afraid to make mistakes. It's very easy to undo them than to just try to get it right the first few tries.,19.308,1,1,mouse,Mozilla Firefox,30,0,33,Female,1,1,NA,I don't know.,Thank you!,sqt|hjt|kte|bga|iud|lnc|yto|jfm|ypl|itz,sqt_c,hjt_c,kte_c,bga_c,iud_c,lnc_c,yto_c,jfm_c,ypl_c,itz_c,65.824,142.707,51.14,62.366,36.887,28.328,89.382,38.222,24.8,22.887,4.804
treatment,ap23,1702,R_W0zjiVV1A9mUjBf,1,1569,6.33,22.118,17.182,521.699,84.107,83.115,64.046,116.708,NA,NA,NA,NA,1,NA,NA,2,3,,,7,100,1,1,60,50,trackpad,NA,Google Chrome,40,Female,adv_header|ap23|adv_t|Q151,NA,NA,6.33,14,42289.78333,R_29Kpg5kuUH1VIbf,901,Firefox,5.298,21.186,7.126,9.199,14.366,24.776,31.467,31.821,30.056,30.55,28.14,29.919,35.599,16.316,31.337,28.9981,30.303,39.755,"Focus on connecting the dots that are the furthest apart first.  That way you have a better chance of not having to undo the shorter connections later if your longer paths are blocked.  Also, be fluid in drawing your lines.  You don't have to go one square by one square.  Just draw fluidly to save time.",177.801,1,1,mouse,Mozilla Firefox,22,50,34,Male,1,1,NA,Giving advice on Colorlink.,NA,itz|sqt|ypl|yto|iud|lnc|hjt|kte|jfm|bga,itz_c,sqt_c,ypl_c,yto_c,iud_c,lnc_c,hjt_c,kte_c,jfm_c,bga_c,24.776,30.55,30.056,28.14,31.467,31.337,31.821,35.599,29.919,16.316,6.33
treatment,ap37,1741,R_10H5zJ1iWlFqpg4,1,748,7.463,30.927,13.448,36.16,23.356,22.043,31.501,28.221,1,NA,NA,NA,NA,3,3,3,3,,,5,59,2,NA,30,20,trackpad,NA,Mozilla Firefox,27,Female,adv_header|ap37|adv_t|Q151,NA,NA,7.463,69,42289.78819,R_31oz2aXYxDqDcc8,895,Chrome,14.15,9.94,8.557,4.814,42.889,34.894,49.603,31.43,30.977,53.949,29.793,38.622,33.427,39.705,62.151,40.4551,36.758,29.569,Start by finding colors that have the closest distance and work your way up from there.,38.79,2,2,mouse,Google Chrome,35,81,27,Male,1,1,NA,Problem solving,NA,lnc|jfm|bga|kte|ypl|sqt|yto|itz|hjt|iud,lnc_c,jfm_c,bga_c,kte_c,ypl_c,sqt_c,yto_c,itz_c,hjt_c,iud_c,62.151,38.622,39.705,33.427,30.977,53.949,29.793,34.894,31.43,49.603,7.463
treatment,ap04,96,R_2q47Sw2IjtiYhsF,1,1729,9.885,523.219,13.189,24.808,34.265,72.958,57.035,2.948,NA,NA,NA,NA,1,NA,NA,3,3,,,7,72,1,1,60,20,mouse,NA,Mozilla Firefox,28,Male,adv_header|ap04|adv_t|Q151,NA,NA,9.885,54,42289.78472,R_Wj3gFT8wrtR7hMR,656,Firefox,3.265,1.539,11.016,2.869,18.07,82.451,61.682,18.388,20.786,23.199,36.711,16.487,24.912,18.695,24.174,32.7485,23.6865,16.358,"ALways test the longets routes first, the rest will be easy.",13.659,1,3,mouse,Mozilla Firefox,35,0,31,Male,1,1,NA,skill?,NA,kte|iud|bga|jfm|hjt|itz|yto|sqt|lnc|ypl,kte_c,iud_c,bga_c,jfm_c,hjt_c,itz_c,yto_c,sqt_c,lnc_c,ypl_c,24.912,61.682,18.695,16.487,18.388,82.451,36.711,23.199,24.174,20.786,9.885
control,ap00,2320,R_Y4Y4XQkxW31n3lT,1,471,10.512,,,24.144,17.205,24.784,17.85,23.928,NA,NA,NA,NA,1,NA,NA,,,5,38,,,2,2,20,,touchscreen,NA,Google Chrome,26,Female,,NA,NA,10.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap52,1533,R_eWlFtQkxiypvE9H,1,574,12.475,35.512,14.744,15.016,15.11,15.293,14.874,13.534,1,NA,NA,NA,NA,1,4,2,1,,,5,13,3,3,35,30,mouse,NA,Google Chrome,22,Female,adv_header|ap52|adv_t|Q151,NA,NA,12.475,31,42289.78403,R_10YERJHAHgZyGyW,1195,Chrome,7.747,19.542,19.678,5.059,23.5,50.428,37.212,44.306,44.961,62.95,51.779,34.158,41.742,28.905,51.27,44.7711,44.6335,20.944,"When you have two colors that look like they will have to cross paths, just make them go opposite ways, or around each other kind of like a clock. Also, the shortest distance between pairs is usually the most likely path. When you start, start with the corners or the edges first.",120.659,1,2,trackpad,Google Chrome,30,45,23,Female,1,3,Bengali,No idea actually,"My internet connection went out on the page before the last one, but I was able to continue. Also I advised the player to play corners and edges first, but I didn't really test out that method myself, so that's probably poor advice...",bga|iud|ypl|kte|lnc|jfm|yto|hjt|sqt|itz,bga_c,iud_c,ypl_c,kte_c,lnc_c,jfm_c,yto_c,hjt_c,sqt_c,itz_c,28.905,37.212,44.961,41.742,51.27,34.158,51.779,44.306,62.95,50.428,12.475
treatment,ap23,550,R_1IhO1zgA0XDbBhQ,1,350,12.964,16.335,16,17.915,15.706,15.071,17.639,16.202,1,NA,NA,NA,NA,4,3,2,2,,,5,0,2,2,17,17,mouse,NA,Google Chrome,24,Female,adv_header|ap23|adv_t|Q151,NA,NA,12.964,14,42289.78333,R_29Kpg5kuUH1VIbf,901,Firefox,5.298,21.186,7.126,9.199,14.366,24.776,31.467,31.821,30.056,30.55,28.14,29.919,35.599,16.316,31.337,28.9981,30.303,39.755,"Focus on connecting the dots that are the furthest apart first.  That way you have a better chance of not having to undo the shorter connections later if your longer paths are blocked.  Also, be fluid in drawing your lines.  You don't have to go one square by one square.  Just draw fluidly to save time.",177.801,1,1,mouse,Mozilla Firefox,22,50,34,Male,1,1,NA,Giving advice on Colorlink.,NA,itz|sqt|ypl|yto|iud|lnc|hjt|kte|jfm|bga,itz_c,sqt_c,ypl_c,yto_c,iud_c,lnc_c,hjt_c,kte_c,jfm_c,bga_c,24.776,30.55,30.056,28.14,31.467,31.337,31.821,35.599,29.919,16.316,12.964
treatment,ap48,797,R_UEbN5bLyd9NQZQR,1,446,13.012,20.216,14.656,12.217,14.73,11.228,10.116,11.353,1,NA,NA,NA,NA,5,4,2,1,,,2,NA,3,3,20,15,mouse,NA,Google Chrome,23,Female,adv_header|ap48|adv_t|Q151,NA,NA,13.012,9,42289.78333,R_3QwRcVO4jbWXtjr,1717,Chrome,5.26,85.492,7.653,9.582,34.02,45.576,28.81,46.583,23.5,28.7,38.916,28.924,83.876,75.611,52.788,45.3284,42.246,24.195,The best advice I can offer is to make the long connections first; that is. try to link the color that takes up the most squares first. Then you can work around with the colors that take up smaller squares.,89.237,1,1,mouse,Google Chrome,30,41,30,Female,1,1,NA,"Not sure, but it was fun.",I enjoyed this game.,jfm|yto|sqt|ypl|hjt|iud|lnc|itz|kte|bga,jfm_c,yto_c,sqt_c,ypl_c,hjt_c,iud_c,lnc_c,itz_c,kte_c,bga_c,28.924,38.916,28.7,23.5,46.583,28.81,52.788,45.576,83.876,75.611,13.012
control,ap00,2145,R_2y107isih8n4GBK,1,485,13.019,,,33.911,18.722,12.66,13.762,14.191,1,NA,NA,NA,NA,3,4,,,4,19,,,2,3,45,,touchscreen,NA,Google Chrome,31,Female,,NA,NA,13.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
