advisor_pid,advisor,advisor_ResponseID,advisor_duration,advisor_browser_meta,advisor_consent_t_3,advisor_Intro_t_3,advisor_Line_t_3,advisor_Line2_c,advisor_Practice_c,advisor_itz_c,advisor_iud_c,advisor_hjt_c,advisor_ypl_c,advisor_sqt_c,advisor_yto_c,advisor_jfm_c,advisor_kte_c,advisor_bga_c,advisor_lnc_c,advisor_board_mean,advisor_board_median,advisor_adv_inst_t_3,advisor_advice,advisor_advice_t_3,advisor_subexp,advisor_subskill,advisor_input,advisor_browser_report,advisor_avg_perf,advisor_adv_eff_1,advisor_age,advisor_gender,advisor_vision,advisor_language,advisor_language2,StudyGuess,Comments,advisor_board_order,advisor_b1,advisor_b2,advisor_b3,advisor_b4,advisor_b5,advisor_b6,advisor_b7,advisor_b8,advisor_b9,advisor_b10,advisor_s1,advisor_s2,advisor_s3,advisor_s4,advisor_s5,advisor_s6,advisor_s7,advisor_s8,advisor_s9,advisor_s10,exclude,exclude_why
65,ap01,R_3JYT3RQm5ZRRzDb,724,Chrome,8.045,26.026,6.711,3.278,18.877,20.501,32.168,85.982,15.9,41.901,16.275,15.409,17.208,17.927,36.015,29.9286,19.214,43.417,Connect the dots closest to each other first.,24.225,1,2,mouse,Google Chrome,25,38,25,male,1,1,,Player skill perception,,lnc|iud|sqt|itz|ypl|kte|bga|hjt|yto|jfm,lnc_c,iud_c,sqt_c,itz_c,ypl_c,kte_c,bga_c,hjt_c,yto_c,jfm_c,36.015,32.168,41.901,20.501,15.9,17.208,17.927,85.982,16.275,15.409,NA,NA
1,ap02,R_1C3BDSKrTvEeo6w,774,Chrome,2.186,12.041,13.281,1.811,157.437,25.515,30.897,40.517,50.01,15.082,27.397,16.864,17.447,17.259,15.669,25.6657,21.481,44.143,I would move the balls that are furthest away from each other first. I would also go for the ones near the corner or edges. ,25.409,2,2,mouse,Google Chrome,40,53,24,male,1,1,,People's problem solving skills. Logical problem solving. ,,hjt|itz|lnc|kte|yto|sqt|jfm|iud|bga|ypl,hjt_c,itz_c,lnc_c,kte_c,yto_c,sqt_c,jfm_c,iud_c,bga_c,ypl_c,40.517,25.515,15.669,17.447,27.397,15.082,16.864,30.897,17.259,50.01,NA,NA
48,ap03,R_2Yt6IZW8AhaqbFm,754,Firefox,4.805,32.825,6.583,3.462,16.544,22.968,19.434,30.806,23.974,22.082,18.142,20.957,33.386,21.739,75.199,28.8687,22.525,16.372,"The best way to complete the board is by linking the colors that are furthest apart first. This will allow you to see patterns and quickly link the colors that are close together in the best way. If you get stuck and two colored lines seem to be intersecting, try to attach the line from one color to another by taking the line in the opposite direction and coming at it from a different angle. This will usually solve any conflicting lines.",129.996,1,3,trackpad,Mozilla Firefox,40,40,28,female,1,1,,How individuals are able to adapt their own techniques to tips for another player.,,lnc|hjt|ypl|kte|iud|yto|jfm|sqt|bga|itz,lnc_c,hjt_c,ypl_c,kte_c,iud_c,yto_c,jfm_c,sqt_c,bga_c,itz_c,75.199,30.806,23.974,33.386,19.434,18.142,20.957,22.082,21.739,22.968,NA,NA
54,ap04,R_Wj3gFT8wrtR7hMR,656,Firefox,3.265,1.539,11.016,2.869,18.07,82.451,61.682,18.388,20.786,23.199,36.711,16.487,24.912,18.695,24.174,32.7485,23.6865,16.358,"ALways test the longets routes first, the rest will be easy.",13.659,1,3,mouse,Mozilla Firefox,35,0,31,male,1,1,,skill?,,kte|iud|bga|jfm|hjt|itz|yto|sqt|lnc|ypl,kte_c,iud_c,bga_c,jfm_c,hjt_c,itz_c,yto_c,sqt_c,lnc_c,ypl_c,24.912,61.682,18.695,16.487,18.388,82.451,36.711,23.199,24.174,20.786,NA,NA
21,ap05,R_2ydCHrT6zFQWjc7,588,Chrome,1.859,7.841,4.533,2.245,42.609,19.296,20.746,30.16,16.857,21.876,53.156,28.777,34.18,28.195,13.738,26.6981,25.0355,5.01,Connect the dots with the shortest ling first. Then focus on the dots on the corners. It is easier to work from the inside to the outside.,27.354,1,1,mouse,Google Chrome,26,65,25,male,1,1,,Puzzle solving skills,,bga|jfm|ypl|sqt|yto|kte|hjt|itz|iud|lnc,bga_c,jfm_c,ypl_c,sqt_c,yto_c,kte_c,hjt_c,itz_c,iud_c,lnc_c,28.195,28.777,16.857,21.876,53.156,34.18,30.16,19.296,20.746,13.738,NA,NA
3,ap06,R_33Ei5wCA6EGaW3Q,868,Firefox,2.273,15.341,5.347,3.094,34.993,39.608,15.946,28.025,35.275,26.26,20.94,24.329,16.109,28.641,22.385,25.7518,25.2945,50.855,Complete the colors that are closest to eachother first. / Complete the colors where there is only one way to complete it.,31.377,1,1,mouse,Mozilla Firefox,30,80,36,male,1,1,,How we respond to the game.,,bga|ypl|sqt|hjt|lnc|jfm|itz|iud|yto|kte,bga_c,ypl_c,sqt_c,hjt_c,lnc_c,jfm_c,itz_c,iud_c,yto_c,kte_c,28.641,35.275,26.26,28.025,22.385,24.329,39.608,15.946,20.94,16.109,NA,NA
15,ap07,R_1lo6kxfjNIohl4h,853,Chrome,17.137,65.843,12.027,7.974,36.337,25.512,45.442,23.959,29.895,25.75,27.638,31.489,23.112,17.253,21.722,27.1772,25.631,18.65,"Be sure not to separate two colored dots. If while building a line between two of the same color, make sure to roughly build a line of sight between other colors' dots so that you don't isolate them from each other.  /  / If the dots are close together, they will likely connect via short distance. The ones that are further apart are the ones that will need a more circuitous route. Connect the short ones first and then look at what's available for the ones farther apart. ",137.212,1,2,mouse,Google Chrome,21,20,28,male,1,1,,How one feels about their own performance after performing a task then giving advice on it.,"That was a very fun survey, thank you!",sqt|yto|bga|jfm|lnc|iud|kte|hjt|ypl|itz,sqt_c,yto_c,bga_c,jfm_c,lnc_c,iud_c,kte_c,hjt_c,ypl_c,itz_c,25.75,27.638,17.253,31.489,21.722,45.442,23.112,23.959,29.895,25.512,NA,NA
81,ap08,R_ahh6HEAH5XZP1UB,754,Chrome,2.218,12.869,4.37,5.975,27.294,47.1,34.414,21.973,17.75,27.652,79.324,31.232,24.052,17.597,22.108,32.3202,25.852,20.334,If you get stuck- see if there are any other ways to make the colors connect than what you are already taking.,24.464,1,1,mouse,Google Chrome,50,50,25,male,1,1,,I am unsure,,iud|bga|itz|ypl|hjt|kte|sqt|jfm|yto|lnc,iud_c,bga_c,itz_c,ypl_c,hjt_c,kte_c,sqt_c,jfm_c,yto_c,lnc_c,34.414,17.597,47.1,17.75,21.973,24.052,27.652,31.232,79.324,22.108,NA,NA
28,ap09,R_262LRkUGXqqqdW5,1140,Chrome,19.971,15.893,6.633,8.673,24.581,16.234,36.195,17.099,30.646,21.467,50.705,15.353,43.52,20.776,31.449,28.3444,26.0565,16.281,"My advice for strategy would be to connect the dots farthest apart first, so that you can create paths for the closer dots with the board ""map"" already mostly in place.",94.405,1,2,mouse,Google Chrome,60,67,44,male,1,1,,This study may have been about allowing participants to practice a game and to evaluate the varying advice the participants are asked to provide future players.,I enjoyed the games.,yto|itz|kte|lnc|sqt|hjt|jfm|ypl|bga|iud,yto_c,itz_c,kte_c,lnc_c,sqt_c,hjt_c,jfm_c,ypl_c,bga_c,iud_c,50.705,16.234,43.52,31.449,21.467,17.099,15.353,30.646,20.776,36.195,NA,NA
73,ap10,R_2TY7Ofma2rrKiIJ,1132,Chrome,156.967,63.243,9.191,5.831,99.284,14.142,28.894,39.789,18.17,28.09,23.082,80.072,24.601,16.696,36.657,31.0193,26.3455,17.707,For me the trick to this game was to keep the entire board in mind at all times. When you initially start the most obvious move is to immediately match all the colors that are extremely close to each other. I then look for the next and then the next in closeness. You just have to be mindful of other connections that need to be made,61.156,1,1,mouse,Google Chrome,50,80,48,male,1,1,,not quite sure...,no,lnc|kte|ypl|bga|itz|jfm|iud|sqt|hjt|yto,lnc_c,kte_c,ypl_c,bga_c,itz_c,jfm_c,iud_c,sqt_c,hjt_c,yto_c,36.657,24.601,18.17,16.696,14.142,80.072,28.894,28.09,39.789,23.082,NA,NA
