Progress,Duration (in seconds),Finished,ResponseId,t_consent_First Click,t_consent_Last Click,t_consent_Page Submit,t_consent_Click Count,t_landing_First Click,t_landing_Last Click,t_landing_Page Submit,t_landing_Click Count,inst1_t_First Click,inst1_t_Last Click,inst1_t_Page Submit,inst1_t_Click Count,inst2_t_First Click,inst2_t_Last Click,inst2_t_Page Submit,inst2_t_Click Count,cat_t_First Click,cat_t_Last Click,cat_t_Page Submit,cat_t_Click Count,cat_c,eise_t_First Click,eise_t_Last Click,eise_t_Page Submit,eise_t_Click Count,eise_c,adv_inst_t_First Click,adv_inst_t_Last Click,adv_inst_t_Page Submit,adv_inst_t_Click Count,adv_long,adv_medium,adv_short,prev_exp,prev_freq,avg_perf_1,input,input_7_TEXT,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,Fragment1,Fragment2,Fragment3,Fragment4,Fragment5,Fragment6,Fragment7,F1,F2,F3,F4,frag_1,frag_2,frag_3,frag_4,frag_5,frag_6,frag_7,frag_8,frag_9,frag_10,frag_11,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,full_9,full_10,full_11,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,advicerating_DO
100,241,TRUE,R_1H6rxQMb9XwGbVc,0,0,15.406,0,0,0,3.254,0,3.242,4.682,9.5,2,5.092,26.493,28.188,5,4.607,11.975,14.677,2,wxGEvXntG  ,69.563,69.837,71.612,2,ZD79Nf3SUp  ,2.2,2.2,6.852,1,6,5,4,"Yes, I've played some version of this game before",Less than once a year,6,"With a computer mouse

",,24,Male,Other,tuna,"Yes, I only spoke English growing up",,,No,N/A,,connect as many words as possible,don't try to find long words,start in the corner of the board,go one letter at a time to find all the words with that letter,look for suffixes to attach to words,try words you're unsure of,change letters for similar words,Rearrange words to make other words,Look for common letter combos,Don't pay attention to the time left,Don't focus on one section,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_1H6rxQMb9XwGbVc,241,1,1,0,0,adv_short|adv_long|adv_medium
100,250,TRUE,R_2wh6tw9JctHsIIe,0,0,2.08,0,0.97,4.291,5.191,5,8.488,8.632,10.382,2,1.383,15.196,16.299,12,1.08,19.66,22.69,4,3sTJCgIvEO,39.486,68.442,69.563,2,ortP4le4t7,6.806,10.279,10.947,12,4,4,4,"No, I've never played any version of this game before",Less than once a year,5,"With a computer mouse

",,29,Male,Other,tuna,"Yes, I only spoke English growing up",,,No,Not sure,None,go one letter at a time to find all the words with that letter,look for suffixes to attach to words,don't try to find long words,don't pay attention to the time left,start in the corner of the board,change letters for similar words,connect as many words as possible,Look for common letter combos,Try words you're unsure of,Don't focus on one section,Rearrange words to make other words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2wh6tw9JctHsIIe,250,1,0,0,0,adv_long|adv_short|adv_medium
100,318,TRUE,R_25NtwaQqBiVkev9,0,0,2.226,0,0,0,1.724,0,0,0,21.824,0,11.889,28.118,30.1,4,16.508,16.508,18.589,1,hiTBtolgCt  ,66.932,67.598,69.59,2,8jfrNn2dSQ  ,0,0,9.567,0,5,5,5,"No, I've never played any version of this game before",Less than once a year,4,"With a computer mouse

",,29,Male,Other,tuna,"Yes, I only spoke English growing up",,,no issues,how we work on a game,was fun to do,change letters for similar words,connect as many words as possible,go one letter at a time to find all the words with that letter,try words you're unsure of,look for suffixes to attach to words,don't pay attention to the time left,don't try to find long words,Look for common letter combos,Rearrange words to make other words,Don't focus on one section,Start in the corner of the board,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_25NtwaQqBiVkev9,318,1,1,0,0,adv_medium|adv_short|adv_long
100,264,TRUE,R_0OIDwzLiwzrsHSN,0,0,3.122,0,0,0,2.528,0,0,0,16.655,0,8.946,34.046,36.444,5,19.233,19.368,21.325,2,P4znukfL4w,67.428,67.604,69.876,2,kFzzaQevyQ  ,1.492,4.119,18.93,11,5,4,4,"No, I've never played any version of this game before",I never play word-finding games,5,"With a computer mouse

",,24,Male,Other,tuna,"Yes, I only spoke English growing up",,,,,,look for common letter combos,rearrange words to make other words,don't focus on one section,look for suffixes to attach to words,try words you're unsure of,connect as many words as possible,start in the corner of the board,Change letters for similar words,Go one letter at a time to find all the words with that letter,Don't try to find long words,Don't pay attention to the time left,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_0OIDwzLiwzrsHSN,264,1,1,0,0,adv_short|adv_long|adv_medium
100,363,TRUE,R_3g6iqI2zC0tOEPd,0,0,7.021,0,0,0,7.744,0,0,0,23.635,0,3.769,21.013,22.719,4,39.971,40.121,44.245,2,KbMJKxvyFK,69.639,69.818,74.078,2,NTCBNsE1RU,0,0,8.34,0,7,7,7,"Yes, I've played some version of this game before",Less than once a year,10,"With a computer mouse

",,22,Male,Other,tuna,"Yes, I only spoke English growing up",,,,The study was about finding people's tendencies when it comes to word scramble games.,,connect as many words as possible,look for suffixes to attach to words,don't focus on one section,change letters for similar words,look for common letter combos,start in the corner of the board,don't pay attention to the time left,Don't try to find long words,Try words you're unsure of,Go one letter at a time to find all the words with that letter,Rearrange words to make other words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_3g6iqI2zC0tOEPd,363,1,1,0,0,adv_medium|adv_long|adv_short
100,364,TRUE,R_3CIt5PaOJtV9iSZ,0,0,10.849,0,0,0,3.378,0,0,0,27.73,0,11.136,29.574,32.158,4,30.637,30.989,33.746,2,F7oOS8XeDP ,86.402,86.699,88.98,2,UTvDoQiQYr ,0,0,9.292,0,5,5,5,"Yes, I've played some version of this game before",Less than once a year,15,"With a computer mouse

",,35,Female,Other,tuna,"Yes, I spoke English and these other languages growing up:",Spanish,,no,I don't know,,look for common letter combos,try words you're unsure of,don't pay attention to the time left,start in the corner of the board,go one letter at a time to find all the words with that letter,look for suffixes to attach to words,rearrange words to make other words,Don't try to find long words,Change letters for similar words,Connect as many words as possible,Don't focus on one section,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_3CIt5PaOJtV9iSZ,364,0,0,0,0,adv_long|adv_short|adv_medium
100,466,TRUE,R_3hndinxWeGUpDSY,0,0,7.011,0,0,0,3.28,0,0,0,233.045,0,4.563,22.382,24.669,5,21.119,21.119,23.832,1,dYQKL2yItK,68.412,71.609,73.9,2,ham4PPBJw ,0,0,11.641,0,4,6,5,"Yes, I've played some version of this game before",A few times a year,20,"With a computer mouse

",,39,Female,Other,tuna,"Yes, I only spoke English growing up",,,no,no idea,none,look for common letter combos,don't pay attention to the time left,look for suffixes to attach to words,connect as many words as possible,change letters for similar words,don't focus on one section,don't try to find long words,Try words you're unsure of,Rearrange words to make other words,Start in the corner of the board,Go one letter at a time to find all the words with that letter,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_3hndinxWeGUpDSY,466,0,1,0,0,adv_short|adv_medium|adv_long
100,522,TRUE,R_wM106c0rfCTXL6p,1.965,1.965,3.389,1,0,0,10.072,0,4.576,4.576,107.714,1,8.846,31.696,46.173,9,26.401,45.88,49.343,3,TlGet7rjIR,11.683,82.908,89.875,3,8NTMTkD7eL,0,0,13.728,0,3,5,3,"Yes, I've played some version of this game before",A few times a year,10,"With a trackpad

",,38,Female,Other,tuna,"Yes, I spoke English and these other languages growing up:",Western Armenian,,None,To see if people think certain forms of advice are valid.,Thank you.,don't focus on one section,don't pay attention to the time left,rearrange words to make other words,connect as many words as possible,look for suffixes to attach to words,go one letter at a time to find all the words with that letter,look for common letter combos,Change letters for similar words,Start in the corner of the board,Try words you're unsure of,Don't try to find long words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_wM106c0rfCTXL6p,522,1,0,0,1,adv_medium|adv_short|adv_long
100,595,TRUE,R_2s0x7G2SxrQL3YR,0,0,3.29,0,0,0,22.505,0,35.501,40.181,42.22,3,2.545,57.358,59.179,7,34.811,34.811,47.441,1,DogzxjqukE,115.328,121.488,124.743,2,lCHXmpTSPo,0,0,62.112,0,5,4,4,"Yes, I've played some version of this game before",Less than once a year,8,"With a computer mouse

",,39,Male,Other,tuna,"No, English is not my native language. My native language is:",,Italian,I didn't,perceived usefulness of suggestions?!,"Thank you very much for this HIT, and best of luck with your research!",rearrange words to make other words,don't try to find long words,look for suffixes to attach to words,go one letter at a time to find all the words with that letter,don't pay attention to the time left,connect as many words as possible,start in the corner of the board,Try words you're unsure of,Don't focus on one section,Look for common letter combos,Change letters for similar words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2s0x7G2SxrQL3YR,595,0,0,0,0,adv_long|adv_medium|adv_short
100,292,TRUE,R_1ikVvYC3IEhoDcB,3.078,3.078,7.978,1,0,0,2.674,0,3.674,18.806,19.368,6,4.922,25.354,27.259,6,20.486,20.486,25.006,1,SxZdYK02ux,74.368,74.368,77.863,1,8N8cOfZMpe,0,0,8.16,0,6,7,5,"Yes, I've played some version of this game before",A few times a year,9,"With a computer mouse

",,25,Male,Other,tuna,"Yes, I only spoke English growing up",,,"No, everything was fine.",Seeing how we evaluated advice given to us and if it made us feel differently when we reported the average performance of other workers.,,start in the corner of the board,don't try to find long words,look for suffixes to attach to words,don't focus on one section,change letters for similar words,rearrange words to make other words,connect as many words as possible,Don't pay attention to the time left,Look for common letter combos,Go one letter at a time to find all the words with that letter,Try words you're unsure of,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_1ikVvYC3IEhoDcB,292,1,1,0,0,adv_long|adv_short|adv_medium
100,430,TRUE,R_2OOx6iGmPuBm7AS,0,0,12.138,0,0,0,4.514,0,0,0,20.203,0,16.804,39.049,45.588,4,53.766,54.267,58.387,2,PSRVXM3Cqv,79.202,79.79,83.441,2,n9MFNoaBI ,0,0,18.546,0,7,7,7,I'm not sure,Less than once a year,5,"With a computer mouse

",,70,Female,Other,tuna,"Yes, I only spoke English growing up",,,No,"Sorry, I'm not sure!","No, but thanks for asking.",don't pay attention to the time left,don't focus on one section,go one letter at a time to find all the words with that letter,look for suffixes to attach to words,try words you're unsure of,start in the corner of the board,rearrange words to make other words,Look for common letter combos,Change letters for similar words,Don't try to find long words,Connect as many words as possible,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2OOx6iGmPuBm7AS,430,0,0,0,1,adv_medium|adv_long|adv_short
100,518,TRUE,R_1DBFB36a0i7PMMK,58.42,58.42,58.725,1,0,0,2.231,0,0,0,177.086,0,5.252,24.543,27.206,5,21.786,21.786,23.999,1,niJQFF40Hx  ,70.545,70.545,74.953,1,bzwd3hRNex,0,0,35.72,0,6,5,4,"Yes, I've played some version of this game before",Less than once a year,10,"With a computer mouse

",,31,Female,Other,tuna,"Yes, I only spoke English growing up",,,none,unknown,no,look for suffixes to attach to words,try words you're unsure of,start in the corner of the board,don't pay attention to the time left,look for common letter combos,go one letter at a time to find all the words with that letter,connect as many words as possible,Don't try to find long words,Change letters for similar words,Rearrange words to make other words,Don't focus on one section,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_1DBFB36a0i7PMMK,518,1,0,0,0,adv_medium|adv_long|adv_short
100,235,TRUE,R_BzwFpDCVdJl6xeV,0,0,2.425,0,0,0,2.278,0,0,0,12.104,0,4.347,20.545,21.651,4,23.863,23.863,29.421,1,gYw0zyVym6,68.534,68.534,72.106,1,REYQ9JVIDt,0,0,8.729,0,5,6,5,"Yes, I've played some version of this game before",A few times a year,6,"With a computer mouse

",,46,Male,Other,tuna,"Yes, I only spoke English growing up",,,no issues,I do not know,no comments,change letters for similar words,go one letter at a time to find all the words with that letter,don't try to find long words,don't focus on one section,start in the corner of the board,look for common letter combos,rearrange words to make other words,Look for suffixes to attach to words,Connect as many words as possible,Don't pay attention to the time left,Try words you're unsure of,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_BzwFpDCVdJl6xeV,235,0,0,0,0,adv_long|adv_short|adv_medium
100,303,TRUE,R_wOd4A36aQnjTgDn,0,0,11.786,0,0,0,3.21,0,0,0,17.298,0,0,0,5.005,0,24.91,24.91,28.433,1,Ts6zhbiwGV  ,78.601,78.601,81.348,1,eOMYFm8Nin  ,0,0,10.754,0,6,4,5,"Yes, I've played some version of this game before",A few times a month,5,"With a computer mouse

",,52,Female,Other,tuna,"Yes, I only spoke English growing up",,,No,I am not really sure ??,Thank you - it was fun.,start in the corner of the board,change letters for similar words,look for suffixes to attach to words,rearrange words to make other words,look for common letter combos,don't pay attention to the time left,connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Try words you're unsure of,Don't try to find long words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_wOd4A36aQnjTgDn,303,,,,,adv_long|adv_short|adv_medium
100,447,TRUE,R_1lz784lt4Pod7ZJ,0,0,7.497,0,0,0,4.387,0,0,0,30.126,0,11.535,32.855,35.231,5,44.641,45.041,52.511,2,vU5LGi61wX  ,77.591,83.655,106.085,3,PruRM5JJPV,0,0,21.636,0,6,5,4,"Yes, I've played some version of this game before",A few times a year,5,"With a computer mouse

",,55,Female,Other,tuna,"Yes, I only spoke English growing up",,,no,advice giving?,it was fun,don't pay attention to the time left,change letters for similar words,don't try to find long words,don't focus on one section,rearrange words to make other words,connect as many words as possible,go one letter at a time to find all the words with that letter,Try words you're unsure of,Look for suffixes to attach to words,Look for common letter combos,Start in the corner of the board,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_1lz784lt4Pod7ZJ,447,0,1,0,0,adv_long|adv_medium|adv_short
100,328,TRUE,R_1jJ0Xa3gEdY7Za8,0,0,2.254,0,0,0,2.147,0,0,0,31.713,0,7.945,28.813,30.871,4,44.326,44.326,46.816,1,Uz4z4VHzkz,72.033,72.033,75.184,1,MUwgnRhY6E,0,0,10.697,0,4,3,5,"No, I've never played any version of this game before",I never play word-finding games,6,"With a computer mouse

",,37,Female,Other,tuna,"Yes, I only spoke English growing up",,,No,I don't know,None,try words you're unsure of,rearrange words to make other words,connect as many words as possible,change letters for similar words,don't pay attention to the time left,go one letter at a time to find all the words with that letter,look for common letter combos,Don't focus on one section,Don't try to find long words,Start in the corner of the board,Look for suffixes to attach to words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_1jJ0Xa3gEdY7Za8,328,1,0,0,0,adv_medium|adv_long|adv_short
100,265,TRUE,R_2VKkcnUsw7GeA5g,0,0,3.167,0,0,0,1.951,0,0,0,21.168,0,4.74,19.069,21.136,5,21.247,21.247,25.239,1,f7hVvHOHue,70.253,70.649,75.198,2,gC64FiJkOY,0,0,14.668,0,6,4,5,"Yes, I've played some version of this game before",A few times a week,7,"With a computer mouse

",,33,Prefer not to answer,Other,tuna,"Yes, I only spoke English growing up",,,No.,I don't know.,,don't pay attention to the time left,connect as many words as possible,try words you're unsure of,don't focus on one section,start in the corner of the board,look for common letter combos,go one letter at a time to find all the words with that letter,Don't try to find long words,Rearrange words to make other words,Look for suffixes to attach to words,Change letters for similar words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2VKkcnUsw7GeA5g,265,1,0,0,0,adv_short|adv_medium|adv_long
