Progress,Duration (in seconds),Finished,ResponseId,t_consent_First Click,t_consent_Last Click,t_consent_Page Submit,t_consent_Click Count,t_landing_First Click,t_landing_Last Click,t_landing_Page Submit,t_landing_Click Count,inst1_t_First Click,inst1_t_Last Click,inst1_t_Page Submit,inst1_t_Click Count,inst2_t_First Click,inst2_t_Last Click,inst2_t_Page Submit,inst2_t_Click Count,cat_t_First Click,cat_t_Last Click,cat_t_Page Submit,cat_t_Click Count,cat_c,eise_t_First Click,eise_t_Last Click,eise_t_Page Submit,eise_t_Click Count,eise_c,adv_inst_t_First Click,adv_inst_t_Last Click,adv_inst_t_Page Submit,adv_inst_t_Click Count,adv_long_1,adv_medium_1,adv_short_1,prev_exp,prev_freq,avg_perf_1,input,input_7_TEXT,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,Fragment1,Fragment2,Fragment3,Fragment4,Fragment5,Fragment6,Fragment7,F1,F2,F3,F4,frag_1,frag_2,frag_3,frag_4,frag_5,frag_6,frag_7,frag_8,frag_9,frag_10,frag_11,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,full_9,full_10,full_11,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,advicerating_DO
100,254,TRUE,R_xGfiPQ32Ztz9oit,0,0,3.183,0,0,0,4.944,0,0,0,15.27,0,6.601,27.658,30.952,4,16.662,16.662,22.701,1,lZTZWheSDK,72.481,72.481,73.975,1,R1wMeIUC1G,0,0,10.197,0,86,80,7,"Yes, I've played some version of this game before",A few times a year,10,"With a computer mouse

",,38,Female,Other,salmon,"Yes, I only spoke English growing up",,,No,I have no idea.,,change letters for similar words,don't try to find long words,don't focus on one section,look for common letter combos,try words you're unsure of,start in the corner of the board,go one letter at a time to find all the words with that letter,Rearrange words to make other words,Look for suffixes to attach to words,Connect as many words as possible,Don't pay attention to the time left,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_xGfiPQ32Ztz9oit,254,0,0,0,0,adv_medium|adv_long|adv_short
100,158,TRUE,R_1Iut4wMjaOLYiSb,0,0,1.71,0,0,0,1.231,0,8.311,8.311,8.79,1,1.315,5.073,6.228,4,17.693,19.217,20.383,2,kJhQeSpHRv  ,65.349,65.349,66.409,1,mXqYa29DWL  ,7.411,7.411,7.865,1,67,79,79,"No, I've never played any version of this game before",Less than once a year,,"With a computer mouse

",,22,Male,"Hobbies, favorite sports",,"Yes, I only spoke English growing up",,,,,,change letters for similar words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,rearrange words to make other words,don't focus on one section,look for common letter combos,Don't try to find long words,Try words you're unsure of,Don't pay attention to the time left,Start in the corner of the board,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_1Iut4wMjaOLYiSb,158,0,0,1,0,adv_medium|adv_short|adv_long
100,234,TRUE,R_2Qomu7pp8bVGUke,0,0,4.641,0,0,0,1.346,0,0,0,9.158,0,6.51,26.278,28.464,4,6.054,16.998,23.687,2,dWeQOtFGHO,65.997,68.525,70.854,4,tpk26ZrLtB,0,0,8.495,0,79,59,56,"No, I've never played any version of this game before",I never play word-finding games,14,"With a computer mouse

",,27,Male,"Gender, marital status, and education",,"Yes, I only spoke English growing up",,,no,Understand word games,,don't pay attention to the time left,start in the corner of the board,try words you're unsure of,look for common letter combos,rearrange words to make other words,connect as many words as possible,don't focus on one section,Go one letter at a time to find all the words with that letter,Change letters for similar words,Don't try to find long words,Look for suffixes to attach to words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2Qomu7pp8bVGUke,234,1,1,0,0,adv_long|adv_short|adv_medium
100,246,TRUE,R_2VIsceZBHfWC4hw,2.225,2.225,3.446,1,0,0,3.384,0,2.493,2.493,12.633,1,2.906,16.597,18.041,7,3.722,17.615,20.555,3,bRPmLitBL4  ,10.279,82.283,83.371,6,d09hamCQgW  ,0,0,7.835,0,56,9,55,"Yes, I've played some version of this game before",A few times a year,15,"With a trackpad

",,29,Female,Other,salmon,"Yes, I only spoke English growing up",,,no.,Seeing how well people do at finding words. ,I have no comments. ,go one letter at a time to find all the words with that letter,don't try to find long words,try words you're unsure of,rearrange words to make other words,don't pay attention to the time left,look for common letter combos,start in the corner of the board,Don't focus on one section,Change letters for similar words,Look for suffixes to attach to words,Connect as many words as possible,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2VIsceZBHfWC4hw,246,0,0,0,0,adv_short|adv_long|adv_medium
100,238,TRUE,R_23UiB0SEdKSLQti,0,0,2.472,0,0,0,2.08,0,0,0,17.293,0,4.387,18.337,20.057,4,19.672,19.672,23.519,1,DxKGJwrRZE,68.885,68.885,70.995,1,kv6dRvV5be,0,0,7.042,0,53,51,28,"Yes, I've played some version of this game before",Less than once a year,10,"With a computer mouse

",,39,Male,Other,salmon,"Yes, I only spoke English growing up",,,no issues,trust in others,,start in the corner of the board,don't try to find long words,look for suffixes to attach to words,connect as many words as possible,rearrange words to make other words,look for common letter combos,don't pay attention to the time left,Go one letter at a time to find all the words with that letter,Don't focus on one section,Change letters for similar words,Try words you're unsure of,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_23UiB0SEdKSLQti,238,0,0,0,0,adv_medium|adv_long|adv_short
100,270,TRUE,R_1NfwfXPmCZY7jj2,0,0,3.338,0,0,0,3.339,0,0,0,10.743,0,10.229,31.194,33.964,4,10.242,35.732,38.419,3,e4LYEGHTtU  ,67.853,67.853,70.023,1,k58GkkpHm  ,5.546,6.247,7.21,2,78,40,3,"Yes, I've played some version of this game before",Less than once a year,7,"With a computer mouse

",,37,Male,Other,salmon,"Yes, I only spoke English growing up",,,None,Ability to unscramble words,,rearrange words to make other words,don't focus on one section,try words you're unsure of,go one letter at a time to find all the words with that letter,don't pay attention to the time left,look for common letter combos,change letters for similar words,Connect as many words as possible,Start in the corner of the board,Look for suffixes to attach to words,Don't try to find long words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_1NfwfXPmCZY7jj2,270,1,1,0,0,adv_medium|adv_long|adv_short
100,221,TRUE,R_2UXgj98TDZtdDxO,0,0,9.707,0,0,0,1.301,0,0,0,9.787,0,4.202,12.776,14.484,4,18.06,18.06,19.932,1,xgBm3BvREj  ,70.041,70.041,71.236,1,jUjbMzqdbj  ,0,0,10.485,0,74,82,8,"Yes, I've played some version of this game before",A few times a year,7,"With a computer mouse

",,26,Female,Other,salmon,"Yes, I only spoke English growing up",,,No,I really am not sure,,don't try to find long words,rearrange words to make other words,try words you're unsure of,don't focus on one section,change letters for similar words,don't pay attention to the time left,look for suffixes to attach to words,Go one letter at a time to find all the words with that letter,Look for common letter combos,Connect as many words as possible,Start in the corner of the board,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2UXgj98TDZtdDxO,221,0,0,0,0,adv_long|adv_short|adv_medium
100,255,TRUE,R_3Jra9GadeJbXNM6,3.495,3.495,3.741,1,0,0,2.907,0,0,0,15.627,0,9.155,20.883,23.052,4,28.613,28.773,31.211,2,7FuPqeECt1,68.766,69.326,72.108,3,m4fqSpsoTL  ,0,0,12.138,0,61,82,50,"Yes, I've played some version of this game before",A few times a year,15,"With a computer mouse

",,30,Male,Other,salmon,"Yes, I spoke English and these other languages growing up:",Hebrew,,No glitches,How we answer word problems,,look for common letter combos,look for suffixes to attach to words,try words you're unsure of,don't focus on one section,change letters for similar words,go one letter at a time to find all the words with that letter,start in the corner of the board,Don't pay attention to the time left,Rearrange words to make other words,Connect as many words as possible,Don't try to find long words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_3Jra9GadeJbXNM6,255,0,0,0,0,adv_medium|adv_long|adv_short
100,252,TRUE,R_2QSSmM9T3vnagv5,0,0,2,0,0,0,2.592,0,0,0,8.412,0,9.662,26.44,27.84,4,22.691,33.084,37.749,4,BT8nO0tg2k,69.103,69.103,70.342,1,18nLZBcphM,0,0,9.211,0,83,49,25,"No, I've never played any version of this game before",A few times a year,6,"With a computer mouse

",,24,Male,Other,salmon,"Yes, I only spoke English growing up",,,No,finding words in a random unorthodox pattern,None,don't try to find long words,start in the corner of the board,don't pay attention to the time left,rearrange words to make other words,try words you're unsure of,look for suffixes to attach to words,look for common letter combos,Go one letter at a time to find all the words with that letter,Don't focus on one section,Connect as many words as possible,Change letters for similar words,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_2QSSmM9T3vnagv5,252,1,0,0,0,adv_long|adv_short|adv_medium
100,232,TRUE,R_XYwtD0TD7KRgrM5,0,0,2.249,0,0,0,3.097,0,0,0,12.643,0,2.804,21.398,23.315,5,17.745,17.745,21.685,1,miXPC3CH2Q,68.565,68.565,72.503,1,ICTdZtchZR,0,0,7.703,0,77,81,1,"Yes, I've played some version of this game before",A few times a year,10,"With a computer mouse

",,36,Female,Other,salmon,"Yes, I only spoke English growing up",,,,,,look for common letter combos,don't focus on one section,change letters for similar words,don't try to find long words,don't pay attention to the time left,rearrange words to make other words,try words you're unsure of,Connect as many words as possible,Look for suffixes to attach to words,Go one letter at a time to find all the words with that letter,Start in the corner of the board,look for suffixes to attach to words,connect as many words as possible,go one letter at a time to find all the words with that letter,don't focus on one section,rearrange words to make other words,start in the corner of the board,try words you're unsure of,don't pay attention to the time left,change letters for similar words,look for common letter combos,don't try to find long words,Look for suffixes to attach to words,Connect as many words as possible,Go one letter at a time to find all the words with that letter,Don't focus on one section,Rearrange words to make other words,Start in the corner of the board,Try words you're unsure of,Don't pay attention to the time left,Change letters for similar words,Look for common letter combos,Don't try to find long words,R_XYwtD0TD7KRgrM5,232,0,0,0,0,adv_long|adv_short|adv_medium
