participant,Progress,Duration..in.seconds.,Finished,ResponseId,DistributionChannel,UserLanguage,meta_Browser,meta_Version,meta_Operating.System,meta_Resolution,cat_json,eise_json,lnpk_json,mpeh_json,woln_json,demi_json,nwsr_json,prev_exp,prev_last,prev_first,prev_freq,adv_exp,adv_skill,adv_helpf,adv_imp_1,rel_exp,rel_skill,avg_perf_1,adv_perf_1,input,input_7_TEXT,browser,browser_6_TEXT,animals,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,condition,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,eise_c,lnpk_c,mpeh_c,woln_c,demi_c,nwsr_c
1,100,768,TRUE,R_2UbwXyrr14SOx9i,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,vG7jOpbyX,fQiFYgZ1z,hFRplYTMwH,YFTI4fYUKV,mPqDwQKJSy,M4imZSSZ3,YnM8zgSSyt,"Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,Less than once a year,They were about as skilled as most people,They were about as skilled as me,2,10,I was as experienced as most people,I was as skilled as most people,10,11,"With a computer mouse

",,Google Chrome,,"cat,dog,bird,tiger,whale,cow,moose,deer,turtle,lizard,fish,snake,lion,eel,octopus,squid,",26,Male,Other,orange,"Yes, I only spoke English growing up",,,nope,average word per minute for boggle type games.,,badadvice,R_2UbwXyrr14SOx9i,768,1,0,0,0,8,14,15,16,12,15
2,100,819,TRUE,R_1remSLf0CsikadT,anonymous,EN,Chrome,88.0.4324.182,Macintosh,1440x900,u3Du43OgNh,VSUVTpKGGO,NKg13yshsg,h5IHWZnGux,w3ekVOTjMS,ZkQKInV1Ip,w7Y04YErCg,"No, I've never played any version of this game before",,,I never play word-finding games,They were more skilled than most people,They were more skilled than me,4,10,I was less experienced than most people,I was less skilled than most people,10,15,"With a computer mouse

",,Google Chrome,,"dog, duck, chicken, cow, ox, pig, cat, fox, panda, wolf, giraffe, chimpanzee, frog, bear, monkey, ",45,Male,Other,orange,"No, English is not my native language. My native language is:",,Chinese,none,knowledge of english words,none,badadvice,R_1remSLf0CsikadT,819,1,1,1,0,3,2,6,3,2,6
3,100,958,TRUE,R_3EXB50bc4R2WVE4,anonymous,EN,Chrome,88.0.4324.104,Windows NT 6.3,1364x768,GVTjOqaK9w  ,HuY7eH3UIP , IJeJkCyNeT,V4gwJCVuSq ,6CjX5Ek0I  ,6CjX5Ek0I  ,xdl1OZF4PT ,"Yes, I've played some version of this game before",Within the last week,Within the last month,A few times a week,They were less skilled than most people,They were less skilled than me,6,95,I was less experienced than most people,I was as skilled as most people,10,10,"With a computer mouse

",,Google Chrome,,"An Oxford Comma is a comma used before the last list item in a list of three or more items. When there are three or more list items, then those following ""US convention"" should use a comma (often called an Oxford Comma) with the conjunction",35,Male,"Gender, marital status, and education",,"Yes, I only spoke English growing up",,,NO,GOOD,NICE,goodadvice,R_3EXB50bc4R2WVE4,958,0,0,1,1,0,0,0,0,0,0
4,100,996,TRUE,R_2TMlfkyYd7a4vck,anonymous,EN,Chrome,88.0.4324.104,Windows NT 6.3,1364x768,f9Bpg6h9vq ,8UNpeCrVhN  ,STnqPXxS7g  ,PkZx8Jy21 , RTWkBlIrL7  ,HFn0d4b4yK  ,3zX2rnX6L3  ,"No, I've never played any version of this game before",,,A few times a month,They were about as skilled as most people,They were less skilled than me,6,90,I was as experienced as most people,I was as skilled as most people,45,60,"With a computer mouse

",,Google Chrome,,"DOG,CAT, LION, TIGER, Zebra.
Zebra Shark.
Zebu.
Zonkey.
Zorse.Wallaby.
Walrus.
Warthog.
Wasp.
Water Buffalo.
Weasel.
Whale.
Whale Shark",30,Male,Other,orange,"Yes, I only spoke English growing up",,,NO,puzzle game,nice,badadvice,R_2TMlfkyYd7a4vck,996,0,0,1,1,0,0,0,0,0,0
5,100,956,TRUE,R_1OrziAoqbMVqKVw,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,3tFnRmrpRF,3b11Vq6GjF,5DH66Qxv7,f39eCc8YFW,26410CGcsD,T0Km4s5dud,zWTGMDYHGl,"Yes, I've played some version of this game before",Within the last week,More than 5 years ago,A few times a week,They were about as skilled as most people,They were about as skilled as me,3,2,I was more experienced than most people,I was as skilled as most people,12,11,"With a computer mouse

",,Google Chrome,,"dog, cat, parrot, bear, tiger, zebra, lion, gerbil, hamster, pig, cow, dear, goat, moose, ram, antelope, giraffe, turtle, ",57,Female,Other,orange,"Yes, I only spoke English growing up",,,No glitches or technical difficulties.,This study may have been about the helpfulness of third-party advice in game playing.,,badadvice,R_1OrziAoqbMVqKVw,956,0,0,0,0,14,13,15,13,16,14
6,100,834,TRUE,R_BP4KN45BQZZLKmJ,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1920x1080,LmsFsrppyP  ,4ypGFrdMli,KaGLYbOtWn,PoTGdxKDDb,tlUl6bHgRh,Es681jWExS,qx7z5sFi4q,"No, I've never played any version of this game before",,,A few times a year,,,,NA,I was less experienced than most people,I was less skilled than most people,3,,"With a computer mouse

",,Google Chrome,,Cow Goat Lion Zeebra Elephant Deer Wolf Dog Cat Tiger Monkey Rabbit Bear ,53,Male,Other,orange,"Yes, I only spoke English growing up",,,No,I am not sure.,None,control,R_BP4KN45BQZZLKmJ,834,1,0,0,0,4,2,6,7,8,9
7,100,850,TRUE,R_12buRB5qkBQDP8A,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.3,1364x768,cUPu1LN1h,05oOEJWflJ  , InQuKWajFQ  ,VXfSYi0EJr,4XqUoCJvB2  ,HTBjORPoBt  ,WsZwEjRqj1  ,"No, I've never played any version of this game before",,,A few times a week,They were less skilled than most people,They were about as skilled as me,6,88,I was as experienced as most people,I was as skilled as most people,45,46,"With a computer mouse

",,Google Chrome,,"Apes: 
Bats: a colony, cloud or camp.
Bears: a sloth or sleuth.
Bees: a swarm.
Buffalo: 
Camels: 
Cats:
Cow.
Rabbit.
Ducks.
Shrimp.
Pig.
Goat.
Crab.
Deer.",35,Male,Other,orange,"Yes, I only spoke English growing up",,,no,puzzle game,nice,goodadvice,R_12buRB5qkBQDP8A,850,0,0,0,0,0,0,0,0,0,0
8,100,837,TRUE,R_3Ho7XgELVyfkfm9,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.1,1920x1080,t3zsDmeTn7,x3tczSO7ib,9pDz7yvYDD,itPGzO9IVy,M3jnXpqlBr,0tzwIvQuNE,98grtOY2KK,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,A few times a year,They were about as skilled as most people,They were less skilled than me,5,5,I was as experienced as most people,I was more skilled than most people,10,12,"With a computer mouse

",,Google Chrome,,"giraffe, elephant, cat, dog, tiger, bear, snake, deer, horse, bird, fish, shark, eel, monkey, squirrel, gator",34,Male,Other,orange,"Yes, I only spoke English growing up",,,no,How people perform on word scramble and how much advice helps.,n/a,badadvice,R_3Ho7XgELVyfkfm9,837,0,0,1,0,14,16,14,17,20,18
9,100,982,TRUE,R_da3FhGtXRYCScdH,anonymous,EN,Firefox,85,Windows NT 10.0,2293x960,5DlNOBeVc4,8z0mPouiBh,LhXo56Zw4V,H76r2Jv3O7,Fis6PyuHI5,4imwLECPwv,5YosRdW4l,"No, I've never played any version of this game before",,,I never play word-finding games,,,,NA,I was less experienced than most people,I was less skilled than most people,6,,"With a computer mouse

",,Mozilla Firefox,,"Donkey, bear, tiger, lion, cheetah, giraffe, bird, walrus, elephant, seal, horse, eel, goat, dog, turtle, llama, ",38,Male,Other,orange,"Yes, I only spoke English growing up",,,,How quickly people can unscramble letters to make words,,control,R_da3FhGtXRYCScdH,982,1,0,0,0,3,4,5,7,4,7
10,100,709,TRUE,R_1rIe32KfhZ27q15,anonymous,EN,Edge,84.0.522.52,Windows NT 10.0,1920x1080,6K7GHuxUtu,rroPtMXRl  ,GZechnGB8f  ,Q74W0oLzOu  ,jL0tLKF8j9  ,F4ICyRTOcQ  ,fG3Yg9prq  ,"No, I've never played any version of this game before",,,Less than once a year,,,,NA,I was less experienced than most people,I was less skilled than most people,15,,"With a computer mouse

",,Google Chrome,,"pig, cat, dog, bird, snake, lizard, horse, cow, fox, sheep, goat, chicken, turkey, duck, swan, boar, tiger, lion, panther, cheetah, jaguar, giraffe, rhino, zebra, antelope, gorilla, chimpanzee, fish",27,Female,Other,orange,"Yes, I only spoke English growing up",,,N/A,How we find words when put under a time pressure.,N/A,control,R_1rIe32KfhZ27q15,709,0,1,0,1,8,11,13,10,19,13
